STATE,CONSTITUENCY,AGE
Telangana,ADILABAD,52
Uttar Pradesh,AGRA,58
Maharashtra,AHMADNAGAR,37
Gujarat,AHMEDABAD EAST,58
Gujarat,AHMEDABAD WEST,69
Rajasthan,AJMER,64
Uttar Pradesh,AKBARPUR,64
Maharashtra,AKOLA,60
Kerala,ALAPPUZHA,54
Kerala,ALATHUR,32
Uttar Pradesh,ALIGARH,46
West Bengal,ALIPURDUARS,43
Uttar Pradesh,ALLAHABAD,69
Uttarakhand,ALMORA,46
Rajasthan,ALWAR,35
Andhra Pradesh,AMALAPURAM,46
Haryana,AMBALA,67
Uttar Pradesh,AMBEDKAR NAGAR,38
Uttar Pradesh,AMETHI,43
Maharashtra,AMRAVATI,33
Gujarat,AMRELI,64
Punjab,AMRITSAR,46
Uttar Pradesh,AMROHA,43
Andhra Pradesh,ANAKAPALLI,52
Gujarat,ANAND,54
Punjab,ANANDPUR SAHIB,53
Andhra Pradesh,ANANTAPUR,48
Jammu & Kashmir,ANANTNAG,65
Andaman & Nicobar Islands,ANDAMAN & NICOBAR ISLANDS,52
Uttar Pradesh,AONLA,50
Tamil Nadu,ARAKKONAM,71
West Bengal,ARAMBAGH,33
Tamil Nadu,ARANI,46
Bihar,ARARIA,52
Bihar,ARRAH,66
Andhra Pradesh,ARUKU,26
Arunachal Pradesh,ARUNACHAL EAST,54
Arunachal Pradesh,ARUNACHAL WEST,47
West Bengal,ASANSOL,48
Odisha,ASKA,70
Kerala,ATTINGAL,63
Bihar,AURANGABAD,53
Maharashtra,AURANGABAD,50
Assam,AUTONOMOUS DISTRICT,49
Uttar Pradesh,AZAMGARH,45
Karnataka,BAGALKOT,68
Uttar Pradesh,BAGHPAT,63
West Bengal,BAHARAMPUR,63
Uttar Pradesh,BAHRAICH,73
Madhya Pradesh,BALAGHAT,66
Odisha,BALASORE,64
Uttar Pradesh,BALLIA,62
West Bengal,BALURGHAT,39
Gujarat,BANASKANTHA,70
Uttar Pradesh,BANDA,59
Karnataka,BANGALORE CENTRAL,55
Karnataka,BANGALORE NORTH,66
Karnataka,BANGALORE RURAL,52
Karnataka,BANGALORE SOUTH,28
West Bengal,BANGAON,37
Bihar,BANKA,58
West Bengal,BANKURA,65
Uttar Pradesh,BANSGAON,42
Rajasthan,BANSWARA,62
Andhra Pradesh,BAPATLA,42
Uttar Pradesh,BARABANKI,51
Maharashtra,BARAMATI,49
Jammu & Kashmir,BARAMULLA,71
West Bengal,BARASAT,60
West Bengal,BARDHAMAN DURGAPUR,67
West Bengal,BARDHAMAN PURBA,61
Gujarat,BARDOLI,49
Uttar Pradesh,BAREILLY,70
Odisha,BARGARH,59
Rajasthan,BARMER,45
Assam,BARPETA,44
West Bengal,BARRACKPORE,57
West Bengal,BASIRHAT,28
Chhattisgarh,BASTAR,38
Uttar Pradesh,BASTI,45
Punjab,BATHINDA,52
Maharashtra,BEED,36
Bihar,BEGUSARAI,66
Karnataka,BELGAUM,63
Karnataka,BELLARY,67
Odisha,BERHAMPUR,68
Madhya Pradesh,BETUL,55
Uttar Pradesh,BHADOHI,44
Odisha,BHADRAK,42
Bihar,BHAGALPUR,41
Maharashtra,BHANDARA - GONDIYA,50
Rajasthan,BHARATPUR,39
Gujarat,BHARUCH,61
Gujarat,BHAVNAGAR,55
Rajasthan,BHILWARA,62
Madhya Pradesh,BHIND,45
Maharashtra,BHIWANDI,58
Haryana,BHIWANI-MAHENDRAGARH,64
Telangana,BHONGIR,55
Madhya Pradesh,BHOPAL,49
Odisha,BHUBANESWAR,49
Karnataka,BIDAR,50
Karnataka,BIJAPUR,66
Uttar Pradesh,BIJNOR,53
Rajasthan,BIKANER,65
Chhattisgarh,BILASPUR,51
West Bengal,BIRBHUM,49
West Bengal,BISHNUPUR,38
Odisha,BOLANGIR,57
West Bengal,BOLPUR,63
Uttar Pradesh,BULANDSHAHR,42
Maharashtra,BULDHANA,58
Bihar,BUXAR,66
Kerala,CHALAKUDY,66
Karnataka,CHAMARAJANAGAR,71
Uttar Pradesh,CHANDAULI,62
Chandigarh,CHANDIGARH,66
NCT OF Delhi,CHANDNI CHOWK,64
Maharashtra,CHANDRAPUR,43
Jharkhand,CHATRA,55
Tamil Nadu,CHENNAI CENTRAL,52
Tamil Nadu,CHENNAI NORTH,49
Tamil Nadu,CHENNAI SOUTH,56
Telangana,CHEVELLA,54
Madhya Pradesh,CHHINDWARA,44
Gujarat,CHHOTA UDAIPUR,47
Tamil Nadu,CHIDAMBARAM,56
Karnataka,CHIKKBALLAPUR,76
Karnataka,CHIKKODI,55
Karnataka,CHITRADURGA,62
Andhra Pradesh,CHITTOOR,68
Rajasthan,CHITTORGARH,43
Rajasthan,CHURU,42
Tamil Nadu,COIMBATORE,68
West Bengal,COOCH BEHAR,33
Tamil Nadu,CUDDALORE,48
Odisha,CUTTACK,62
Dadra & Nagar Haveli,DADRA AND NAGAR HAVELI,56
Gujarat,DAHOD,52
Karnataka,DAKSHINA KANNADA,52
Daman & Diu,DAMAN & DIU,63
Madhya Pradesh,DAMOH,59
Bihar,DARBHANGA,49
West Bengal,DARJEELING,33
Rajasthan,DAUSA,71
Karnataka,DAVANAGERE,67
Uttar Pradesh,DEORIA,69
Madhya Pradesh,DEWAS,35
Jharkhand,DHANBAD,69
Madhya Pradesh,DHAR,65
Tamil Nadu,DHARMAPURI,41
Karnataka,DHARWAD,56
Uttar Pradesh,DHAURAHRA,45
Odisha,DHENKANAL,58
Assam,DHUBRI,63
Maharashtra,DHULE,66
West Bengal,DIAMOND HARBOUR,31
Assam,DIBRUGARH,48
Tamil Nadu,DINDIGUL,52
Maharashtra,DINDORI,40
Uttar Pradesh,DOMARIYAGANJ,68
West Bengal,DUM DUM,71
Jharkhand,DUMKA,39
Chhattisgarh,DURG,59
NCT OF Delhi,EAST DELHI,37
Andhra Pradesh,ELURU,46
Kerala,ERNAKULAM,35
Tamil Nadu,ERODE,72
Uttar Pradesh,ETAH,58
Uttar Pradesh,FAIZABAD,64
Haryana,FARIDABAD,62
Punjab,FARIDKOT,78
Uttar Pradesh,FARRUKHABAD,50
Punjab,FATEHGARH SAHIB,65
Uttar Pradesh,FATEHPUR,52
Uttar Pradesh,FATEHPUR SIKRI,52
Uttar Pradesh,FIROZABAD,68
Punjab,FIROZPUR,56
Maharashtra,GADCHIROLI-CHIMUR,55
Gujarat,GANDHINAGAR,54
Rajasthan,GANGANAGAR,48
Uttarakhand,GARHWAL,55
Assam,GAUHATI,67
Uttar Pradesh,GAUTAM BUDDHA NAGAR,59
Bihar,GAYA,55
West Bengal,GHATAL,36
Uttar Pradesh,GHAZIABAD,67
Uttar Pradesh,GHAZIPUR,65
Uttar Pradesh,GHOSI,36
Jharkhand,GIRIDIH,50
Jharkhand,GODDA,47
Uttar Pradesh,GONDA,53
Bihar,GOPALGANJ,61
Uttar Pradesh,GORAKHPUR,51
Karnataka,GULBARGA,60
Madhya Pradesh,GUNA,43
Andhra Pradesh,GUNTUR,53
Punjab,GURDASPUR,59
Haryana,GURGAON,69
Madhya Pradesh,GWALIOR,71
Bihar,HAJIPUR,66
Himachal Pradesh,HAMIRPUR,44
Uttar Pradesh,HAMIRPUR,45
Uttar Pradesh,HARDOI,61
Uttarakhand,HARDWAR,59
Karnataka,HASSAN,28
Uttar Pradesh,HATHRAS,61
Maharashtra,HATKANANGLE,38
Karnataka,HAVERI,52
Jharkhand,HAZARIBAGH,55
Andhra Pradesh,HINDUPUR,50
Maharashtra,HINGOLI,48
Haryana,HISAR,46
West Bengal,HOOGHLY,45
Madhya Pradesh,HOSHANGABAD,54
Punjab,HOSHIARPUR,70
West Bengal,HOWRAH,64
Telangana,HYDERABAD,49
Kerala,IDUKKI,37
Madhya Pradesh,INDORE,57
Manipur,INNER MANIPUR,67
Madhya Pradesh,JABALPUR,56
West Bengal,JADAVPUR,30
Odisha,JAGATSINGHPUR,54
Bihar,JAHANABAD,68
Rajasthan,JAIPUR,61
Rajasthan,JAIPUR RURAL,49
Odisha,JAJPUR,45
Punjab,JALANDHAR,72
Uttar Pradesh,JALAUN,60
Maharashtra,JALGAON,40
Rajasthan,JALORE,42
West Bengal,JALPAIGURI,51
Jammu & Kashmir,JAMMU,56
Gujarat,JAMNAGAR,44
Jharkhand,JAMSHEDPUR,56
Bihar,JAMUI,37
West Bengal,JANGIPUR,58
Chhattisgarh,JANJGIR-CHAMPA,52
Uttar Pradesh,JAUNPUR,65
West Bengal,JAYNAGAR,53
Rajasthan,JHALAWAR-BARAN,48
Bihar,JHANJHARPUR,63
Uttar Pradesh,JHANSI,54
West Bengal,JHARGRAM,56
Rajasthan,JHUNJHUNU,58
Rajasthan,JODHPUR,51
Assam,JORHAT,50
Gujarat,JUNAGADH,36
Gujarat,KACHCHH,40
Andhra Pradesh,KADAPA,34
Uttar Pradesh,KAIRANA,48
Uttar Pradesh,KAISERGANJ,62
Andhra Pradesh,KAKINADA,55
Odisha,KALAHANDI,58
Assam,KALIABOR,36
Tamil Nadu,KALLAKURICHI,44
Maharashtra,KALYAN,32
Tamil Nadu,KANCHEEPURAM,44
Odisha,KANDHAMAL,55
Himachal Pradesh,KANGRA,67
Chhattisgarh,KANKER,61
Uttar Pradesh,KANNAUJ,39
Tamil Nadu,KANNIYAKUMARI,68
Kerala,KANNUR,70
Uttar Pradesh,KANPUR,71
West Bengal,KANTHI,77
Bihar,KARAKAT,64
Rajasthan,KARAULI-DHOLPUR,49
Assam,KARIMGANJ,46
Telangana,KARIMNAGAR,47
Haryana,KARNAL,51
Tamil Nadu,KARUR,43
Kerala,KASARAGOD,65
Bihar,KATIHAR,51
Uttar Pradesh,KAUSHAMBI,49
Odisha,KENDRAPARA,37
Punjab,KHADOOR SAHIB,48
Bihar,KHAGARIA,52
Madhya Pradesh,KHAJURAHO,49
Telangana,KHAMMAM,62
Madhya Pradesh,KHANDWA,66
Madhya Pradesh,KHARGONE,43
Gujarat,KHEDA,54
Uttar Pradesh,KHERI,60
Jharkhand,KHUNTI,50
Bihar,KISHANGANJ,54
Jharkhand,KODARMA,50
Assam,KOKRAJHAR,50
Karnataka,KOLAR,44
Maharashtra,KOLHAPUR,54
West Bengal,KOLKATA DAKSHIN,61
West Bengal,KOLKATA UTTAR,70
Kerala,KOLLAM,58
Karnataka,KOPPAL,64
Odisha,KORAPUT,40
Chhattisgarh,KORBA,65
Rajasthan,KOTA,56
Kerala,KOTTAYAM,66
Kerala,KOZHIKODE,66
Tamil Nadu,KRISHNAGIRI,58
West Bengal,KRISHNANAGAR,44
Andhra Pradesh,KURNOOL,52
Haryana,KURUKSHETRA,49
Uttar Pradesh,KUSHI NAGAR,50
Jammu & Kashmir,LADAKH,33
Assam,LAKHIMPUR,53
Lakshadweep,LAKSHADWEEP,43
Uttar Pradesh,LALGANJ,44
Maharashtra,LATUR,57
Jharkhand,LOHARDAGA,52
Uttar Pradesh,LUCKNOW,67
Punjab,LUDHIANA,43
Uttar Pradesh,MACHHLISHAHR,58
Andhra Pradesh,MACHILIPATNAM,50
Maharashtra,MADHA,42
Bihar,MADHEPURA,67
Bihar,MADHUBANI,49
Tamil Nadu,MADURAI,49
Telangana,MAHABUBABAD,39
Uttar Pradesh,MAHARAJGANJ,54
Bihar,MAHARAJGANJ,55
Chhattisgarh,MAHASAMUND,51
Telangana,MAHBUBNAGAR,60
Gujarat,MAHESANA,71
Uttar Pradesh,MAINPURI,79
Kerala,MALAPPURAM,67
West Bengal,MALDAHA DAKSHIN,72
West Bengal,MALDAHA UTTAR,59
Telangana,MALKAJGIRI,51
Himachal Pradesh,MANDI,60
Madhya Pradesh,MANDLA,59
Madhya Pradesh,MANDSOUR,59
Karnataka,MANDYA,55
Assam,MANGALDOI,45
Uttar Pradesh,MATHURA,70
West Bengal,MATHURAPUR,80
Maharashtra,MAVAL,55
Kerala,MAVELIKKARA,56
Tamil Nadu,MAYILADUTHURAI,74
Odisha,MAYURBHANJ,54
Telangana,MEDAK,53
West Bengal,MEDINIPUR,54
Uttar Pradesh,MEERUT,68
Uttar Pradesh,MIRZAPUR,37
Uttar Pradesh,MISRIKH,52
Mizoram,MIZORAM,62
Uttar Pradesh,MOHANLALGANJ,59
Uttar Pradesh,MORADABAD,60
Madhya Pradesh,MORENA,61
Maharashtra,MUMBAI NORTH,65
Maharashtra,MUMBAI NORTH CENTRAL,38
Maharashtra,MUMBAI NORTH EAST,46
Maharashtra,MUMBAI NORTH WEST,75
Maharashtra,MUMBAI SOUTH,67
Maharashtra,MUMBAI SOUTH CENTRAL,47
Bihar,MUNGER,65
West Bengal,MURSHIDABAD,57
Uttar Pradesh,MUZAFFARNAGAR,46
Bihar,MUZAFFARPUR,50
Karnataka,MYSORE,42
Odisha,NABARANGPUR,40
Nagaland,NAGALAND,62
Tamil Nadu,NAGAPATTINAM,63
Telangana,NAGARKURNOOL,66
Rajasthan,NAGAUR,47
Uttar Pradesh,NAGINA,55
Maharashtra,NAGPUR,62
Uttarakhand,NAINITAL-UDHAMSINGH NAGAR,57
Bihar,NALANDA,60
Telangana,NALGONDA,55
Tamil Nadu,NAMAKKAL,54
Maharashtra,NANDED,57
Maharashtra,NANDURBAR,31
Andhra Pradesh,NANDYAL,60
Andhra Pradesh,NARASARAOPET,35
Andhra Pradesh,NARSAPURAM,57
Maharashtra,NASHIK,48
Gujarat,NAVSARI,64
Bihar,NAWADA,36
Andhra Pradesh,NELLORE,70
NCT OF Delhi,NEW DELHI,51
Tamil Nadu,NILGIRIS,55
Telangana,NIZAMABAD,43
NCT OF Delhi,NORTH EAST DELHI,47
Goa,NORTH GOA,66
NCT OF Delhi,NORTH WEST DELHI,57
Assam,NOWGONG,59
Andhra Pradesh,ONGOLE,65
Maharashtra,OSMANABAD,35
Manipur,OUTER MANIPUR,59
Kerala,PALAKKAD,49
Jharkhand,PALAMU,68
Maharashtra,PALGHAR,51
Rajasthan,PALI,65
Gujarat,PANCHMAHAL,59
Maharashtra,PARBHANI,52
Bihar,PASCHIM CHAMPARAN,54
Bihar,PATALIPUTRA,58
Gujarat,PATAN,64
Kerala,PATHANAMTHITTA,62
Punjab,PATIALA,74
Bihar,PATNA SAHIB,64
Telangana,PEDDAPALLE,42
Tamil Nadu,PERAMBALUR,77
Uttar Pradesh,PHULPUR,62
Uttar Pradesh,PILIBHIT,39
Tamil Nadu,POLLACHI,49
Kerala,PONNANI,72
Gujarat,PORBANDAR,57
Uttar Pradesh,PRATAPGARH,48
Puducherry,PUDUCHERRY,68
Maharashtra,PUNE,68
Odisha,PURI,59
Bihar,PURNIA,43
West Bengal,PURULIA,34
Bihar,PURVI CHAMPARAN,69
Uttar Pradesh,RAE BARELI,72
Karnataka,RAICHUR,62
Maharashtra,RAIGAD,64
West Bengal,RAIGANJ,48
Chhattisgarh,RAIGARH,43
Chhattisgarh,RAIPUR,57
Andhra Pradesh,RAJAHMUNDRY,36
Andhra Pradesh,RAJAMPET,42
Madhya Pradesh,RAJGARH,58
Gujarat,RAJKOT,67
Jharkhand,RAJMAHAL,36
Chhattisgarh,RAJNANDGAON,51
Rajasthan,RAJSAMAND,48
Tamil Nadu,RAMANATHAPURAM,39
Uttar Pradesh,RAMPUR,64
Maharashtra,RAMTEK,53
West Bengal,RANAGHAT,56
Jharkhand,RANCHI,60
Madhya Pradesh,RATLAM,62
Maharashtra,RATNAGIRI - SINDHUDURG,65
Maharashtra,RAVER,31
Madhya Pradesh,REWA,62
Uttar Pradesh,ROBERTSGANJ,66
Haryana,ROHTAK,56
Gujarat,SABARKANTHA,67
Madhya Pradesh,SAGAR,51
Uttar Pradesh,SAHARANPUR,67
Tamil Nadu,SALEM,49
Uttar Pradesh,SALEMPUR,55
Bihar,SAMASTIPUR,58
Odisha,SAMBALPUR,47
Uttar Pradesh,SAMBHAL,86
Maharashtra,SANGLI,54
Punjab,SANGRUR,45
Uttar Pradesh,SANT KABIR NAGAR,30
Bihar,SARAN,58
Chhattisgarh,SURGUJA,55
Bihar,SASARAM (SC),63
Maharashtra,SATARA,53
Madhya Pradesh,SATNA,56
Telangana,SECUNDRABAD,58
Madhya Pradesh,SHAHDOL,32
Uttar Pradesh,SHAHJAHANPUR,42
Bihar,SHEOHAR,69
Meghalaya,SHILLONG,51
Himachal Pradesh,SHIMLA,48
Karnataka,SHIMOGA,46
Maharashtra,SHIRDI,56
Maharashtra,SHIRUR,38
Uttar Pradesh,SHRAWASTI,49
Madhya Pradesh,SIDHI,41
Rajasthan,SIKAR,67
Sikkim,SIKKIM,30
Assam,SILCHAR,48
Jharkhand,SINGHBHUM,35
Haryana,SIRSA,51
Bihar,SITAMARHI,58
Uttar Pradesh,SITAPUR,58
Tamil Nadu,SIVAGANGA,47
Bihar,SIWAN,33
Maharashtra,SOLAPUR,63
Haryana,SONIPAT,62
NCT OF Delhi,SOUTH DELHI,57
Goa,SOUTH GOA,73
West Bengal,SRERAMPUR,62
Andhra Pradesh,SRIKAKULAM,32
Jammu & Kashmir,SRINAGAR,83
Tamil Nadu,SRIPERUMBUDUR,77
Uttar Pradesh,SULTANPUR,62
Odisha,SUNDARGARH,58
Bihar,SUPAUL,73
Gujarat,SURAT,58
Gujarat,SURENDRANAGAR,50
West Bengal,TAMLUK,42
Uttarakhand,TEHRI GARHWAL,68
Tamil Nadu,TENKASI,44
Assam,TEZPUR,41
Maharashtra,THANE,57
Tamil Nadu,THANJAVUR,68
Tamil Nadu,THENI,39
Tamil Nadu,THIRUVALLUR,69
Kerala,THIRUVANANTHAPURAM,63
Tamil Nadu,THOOTHUKKUDI,51
Kerala,THRISSUR,58
Madhya Pradesh,TIKAMGARH,65
Tamil Nadu,TIRUCHIRAPPALLI,69
Tamil Nadu,TIRUNELVELI,54
Andhra Pradesh,TIRUPATI,63
Tamil Nadu,TIRUPPUR,71
Tamil Nadu,TIRUVANNAMALAI,45
Rajasthan,TONK-SAWAI MADHOPUR,61
Tripura,TRIPURA EAST,43
Tripura,TRIPURA WEST,50
Karnataka,TUMKUR,78
Meghalaya,TURA,38
Rajasthan,UDAIPUR,54
Jammu & Kashmir,UDHAMPUR,62
Karnataka,UDUPI CHIKMAGALUR,52
Bihar,UJIARPUR,53
Madhya Pradesh,UJJAIN,47
West Bengal,ULUBERIA,57
Uttar Pradesh,UNNAO,63
Karnataka,UTTARA KANNADA,51
Kerala,VADAKARA,62
Gujarat,VADODARA,56
Bihar,VAISHALI,48
Bihar,VALMIKI NAGAR,62
Gujarat,VALSAD,69
Uttar Pradesh,VARANASI,68
Madhya Pradesh,VIDISHA,65
Andhra Pradesh,VIJAYAWADA,53
Tamil Nadu,VILUPPURAM,58
Tamil Nadu,VIRUDHUNAGAR,44
Andhra Pradesh,VISAKHAPATNAM,52
Andhra Pradesh,VIZIANAGARAM,57
Telangana,WARANGAL,51
Maharashtra,WARDHA,65
Kerala,WAYANAD,48
NCT OF Delhi,WEST DELHI,41
Maharashtra,YAVATMAL-WASHIM,46
Telangana,ZAHIRABAD,63
