STATE,CONSTITUENCY, Assets ,WINNER,PARTY,GENDER,"CRIMINAL
Punjab,FIROZPUR,2179919870,1,SAD,MALE,4,56,Post Graduate,631100,2327,633427,39.1386285,54.00975954,1618419
Maharashtra,GADCHIROLI-CHIMUR,50136369,1,BJP,MALE,0,55,12th Pass,517722,2246,519968,32.88093964,45.46231904,1581366
Gujarat,GANDHINAGAR,403275307,1,BJP,MALE,4,54,12th Pass,889925,4699,894624,45.97784324,69.5758213,1945772
Rajasthan,GANGANAGAR,21014362,1,BJP,MALE,0,48,Graduate,892744,4433,897177,46.16328597,61.74291249,1943486
Uttarakhand,GARHWAL,15032657,1,BJP,MALE,0,55,Post Graduate,487613,19367,506980,37.39353118,67.77608145,1355796
Assam,GAUHATI,630219570,1,BJP,FEMALE,0,67,Graduate,1007156,1780,1008936,46.25348241,57.19753961,2181319
Uttar Pradesh,GAUTAM BUDDHA NAGAR,478759568,1,BJP,MALE,0,59,Graduate Professional,828164,2648,830812,36.07583284,59.63588754,2302960
Bihar,GAYA,12766141,1,JD(U),MALE,3,55,12th Pass,465748,1259,467007,27.39693159,48.76573376,1704596
West Bengal,GHATAL,317320579,1,AITC,MALE,0,36,Others,717407,552,717959,39.88656679,48.20658574,1800002
Uttar Pradesh,GHAZIABAD,56545702,1,BJP,MALE,2,67,Doctorate,942576,1927,944503,34.6101361,61.93068375,2728978
Uttar Pradesh,GHAZIPUR,137938756,1,BSP,MALE,5,65,Post Graduate,564144,1938,566082,30.09350494,51.11363733,1881077
Uttar Pradesh,GHOSI,66536025,1,BSP,MALE,13,36,Graduate,572459,1370,573829,28.81172454,50.27061359,1991651
Jharkhand,GIRIDIH,13456889,1,AJSUP,MALE,2,50,Graduate,646864,1413,648277,39.30349767,58.55335653,1649413
Jharkhand,GODDA,462757500,1,BJP,MALE,4,47,Doctorate,635383,2227,637610,37.14018101,53.3858364,1716766
Uttar Pradesh,GONDA,232735285,1,BJP,MALE,0,53,Post Graduate,507276,914,508190,28.70727717,54.99159744,1770248
Bihar,GOPALGANJ,32739903,1,JD(U),MALE,0,61,Post Graduate,562424,5726,568150,30.88587529,55.3722214,1839514
Uttar Pradesh,GORAKHPUR,208494688,1,BJP,MALE,0,51,12th Pass,715010,2112,717122,36.19640046,60.52045488,1981197
Karnataka,GULBARGA,37490597,1,BJP,MALE,0,60,Post Graduate,617692,2500,620192,31.87394161,52.09635514,1945765
Madhya Pradesh,GUNA,16266408,1,BJP,MALE,0,43,Graduate Professional,610855,3194,614049,36.64380292,52.09513475,1675724
Andhra Pradesh,GUNTUR,3051485242,1,TDP,MALE,0,53,Graduate,586292,1626,587918,34.45937827,43.50027783,1706119
Punjab,GURDASPUR,871925679,1,BJP,MALE,0,59,Others,551177,7542,558719,35.02316829,50.58358819,1595284
Haryana,GURGAON,420970754,1,BJP,MALE,0,69,Graduate Professional,877241,4305,881546,40.98826072,60.87600243,2150728
Madhya Pradesh,GWALIOR,58911673,1,BJP,MALE,0,71,Graduate Professional,624801,2449,627250,31.35083749,52.40674148,2000744
Bihar,HAJIPUR,62834200,1,LJP,MALE,1,66,Graduate Professional,539665,1645,541310,29.68255117,53.71844236,1823664
Himachal Pradesh,HAMIRPUR,56770463,1,BJP,MALE,3,44,Graduate,668812,13880,682692,50.11433131,68.81372299,1362269
Uttar Pradesh,HAMIRPUR,56770463,1,BJP,MALE,4,45,Post Graduate,574101,1021,575122,32.88102453,52.76208248,1749100
Uttar Pradesh,HARDOI,234032624,1,BJP,MALE,0,61,Graduate,567244,899,568143,31.43915813,53.70748322,1807119
Uttarakhand,HARDWAR,28739888,1,BJP,MALE,0,59,Doctorate,661050,4624,665674,36.1634301,52.27561326,1840738
Karnataka,HASSAN,97848632,1,JD(S),MALE,0,28,Graduate Professional,675512,1094,676606,40.93202718,52.91552908,1652999
Uttar Pradesh,HATHRAS,14930000,1,BJP,MALE,0,61,12th Pass,679799,4500,684299,36.70501845,59.42876051,1864320
Maharashtra,HATKANANGLE,47771462,1,SHS,MALE,0,38,Graduate,582776,3000,585776,32.97257895,46.70094307,1776555
Karnataka,HAVERI,718499195,1,BJP,MALE,0,52,12th Pass,681147,2513,683660,40.01498382,53.92116654,1708510
Jharkhand,HAZARIBAGH,770749002,1,BJP,MALE,0,55,Post Graduate,727359,1439,728798,43.70694437,67.39505559,1667465
Andhra Pradesh,HINDUPUR,1787356,1,YSRCP,MALE,2,50,Graduate,699739,6863,706602,44.77214174,52.73043006,1578218
Maharashtra,HINGOLI,18594458,1,SHS,MALE,0,48,Graduate,583392,2920,586312,33.81797271,50.59792003,1733729
Haryana,HISAR,146408734,1,BJP,MALE,0,46,Post Graduate,599951,3338,603289,36.97038332,51.04494711,1631817
West Bengal,HOOGHLY,35655698,1,BJP,FEMALE,14,45,Graduate,670031,1417,671448,38.00790331,46.03265795,1766601
Madhya Pradesh,HOSHANGABAD,154783105,1,BJP,MALE,1,54,Graduate,876911,1016,877927,51.45688428,69.32987655,1706141
Punjab,HOSHIARPUR,29404519,1,BJP,MALE,0,70,Post Graduate,416711,4609,421320,26.37370892,42.48612183,1597500
West Bengal,HOWRAH,13216066,1,AITC,MALE,1,64,Graduate,576499,212,576711,35.29605092,47.16669884,1633925
Telangana,HYDERABAD,179044376,1,AIMIM,MALE,5,49,Graduate Professional,517239,232,517471,26.42948092,58.94143228,1957931
Kerala,IDUKKI,13395011,1,INC,MALE,204,37,Post Graduate,497697,796,498493,41.39650604,54.21000719,1204191
Madhya Pradesh,INDORE,59038508,1,BJP,MALE,2,57,Graduate Professional,1066824,1745,1068569,45.45980141,65.57267296,2350580
Manipur,INNER MANIPUR,19616174,1,BJP,MALE,0,67,Doctorate,261802,1830,263632,28.12182654,34.66762048,937464
Madhya Pradesh,JABALPUR,43134351,1,BJP,MALE,1,56,Graduate,825674,780,826454,45.41223028,65.38091546,1819893
West Bengal,JADAVPUR,24398786,1,AITC,FEMALE,0,30,Graduate,687773,699,688472,37.89357115,47.90093531,1816857
Odisha,JAGATSINGHPUR,40023972,1,BJD,FEMALE,0,54,Graduate Professional,618955,1030,619985,37.72127562,50.41237507,1643595
Bihar,JAHANABAD,139271693,1,JD(U),MALE,3,68,10th Pass,333191,2393,335584,21.12645377,40.81373528,1588454
Rajasthan,JAIPUR,165322707,1,BJP,MALE,0,61,12th Pass,918472,5593,924065,43.44409388,63.44395423,2127021
Rajasthan,JAIPUR RURAL,127808070,1,BJP,MALE,0,49,Graduate,811626,8506,820132,42.00329622,64.08948578,1952542
Odisha,JAJPUR,15837082,1,BJD,FEMALE,0,45,Post Graduate,542476,1544,544020,36.88253683,49.77469544,1475007
Punjab,JALANDHAR,99925185,1,INC,MALE,0,72,Graduate Professional,385449,263,385712,23.85329044,37.83704776,1617018
Uttar Pradesh,JALAUN,10699516,1,BJP,MALE,1,60,Post Graduate,579723,2040,581763,30.09080574,51.44948556,1933358
Maharashtra,JALGAON,12324604,1,BJP,MALE,1,40,Graduate Professional,709510,4364,713874,36.96147872,65.35590005,1931400
Rajasthan,JALORE,88332292,1,BJP,MALE,0,42,10th Pass,772383,450,772833,37.31250398,56.75805489,2071244
West Bengal,JALPAIGURI,11625047,1,BJP,MALE,0,51,Graduate Professional,757806,2339,760145,43.80067809,50.62978768,1735464
Jammu & Kashmir,JAMMU,56481801,1,BJP,MALE,0,56,10th Pass,840214,17852,858066,41.91203838,57.80608426,2047302
Gujarat,JAMNAGAR,427331034,1,BJP,FEMALE,0,44,Graduate,587501,4087,591588,35.69877731,58.48915763,1657166
Jharkhand,JAMSHEDPUR,27750671,1,BJP,MALE,3,56,12th Pass,678984,648,679632,39.9013902,59.3862256,1703279
Bihar,JAMUI,18466066,1,LJP,MALE,1,37,Graduate Professional,527860,1274,529134,30.78483187,55.72406617,1718814
West Bengal,JANGIPUR,368306705,1,AITC,MALE,0,58,Graduate,562518,320,562838,34.82449405,43.14161344,1616213
Chhattisgarh,JANJGIR-CHAMPA,18400837,1,BJP,MALE,0,52,Graduate Professional,570486,2304,572790,30.19238493,45.87920934,1897134
Uttar Pradesh,JAUNPUR,140717620,1,BSP,MALE,0,65,Post Graduate,520046,1082,521128,27.89800297,50.02030076,1867976
West Bengal,JAYNAGAR,27471675,1,AITC,FEMALE,0,53,Post Graduate,760934,268,761202,46.1794941,56.11986558,1648355
Rajasthan,JHALAWAR-BARAN,370432373,1,BJP,MALE,0,48,Post Graduate,887017,383,887400,46.61032528,64.77291888,1903870
Bihar,JHANJHARPUR,88119686,1,JD(U),MALE,1,63,10th Pass,601597,794,602391,32.51918979,56.70144043,1852417
Uttar Pradesh,JHANSI,1243060113,1,BJP,MALE,0,54,Post Graduate,808371,901,809272,39.65583056,58.59491865,2040739
West Bengal,JHARGRAM,10387498,1,BJP,MALE,0,56,Graduate Professional,623373,3210,626583,38.16281211,44.52595203,1641868
Rajasthan,JHUNJHUNU,47474109,1,BJP,MALE,1,58,Graduate,722994,15169,738163,38.09122537,61.32439757,1937882
Rajasthan,JODHPUR,138029511,1,BJP,MALE,1,51,Post Graduate,781166,7722,788888,40.31613564,58.52575759,1956755
Assam,JORHAT,12597461,1,BJP,MALE,0,50,Post Graduate,540942,2346,543288,39.80029816,51.31070437,1365035
Gujarat,JUNAGADH,10866041,1,BJP,MALE,1,36,12th Pass,543429,4315,547744,33.34079997,54.38003598,1642864
Gujarat,KACHCHH,33508455,1,BJP,MALE,0,40,Post Graduate,631753,5281,637034,36.52045696,62.20111858,1744321
Andhra Pradesh,KADAPA,186969794,1,YSRCP,MALE,4,34,Post Graduate,777967,5532,783499,49.89390765,63.41312795,1570330
Uttar Pradesh,KAIRANA,17292937,1,BJP,MALE,5,48,Post Graduate,564380,2581,566961,34.01691843,50.43181319,1666703
Uttar Pradesh,KAISERGANJ,98905402,1,BJP,MALE,4,62,Graduate Professional,580226,1132,581358,32.19132798,59.1819595,1805946
Andhra Pradesh,KAKINADA,202528594,1,YSRCP,FEMALE,0,55,Post Graduate,534655,2975,537630,34.3768583,43.46894521,1563930
Odisha,KALAHANDI,9547000,1,BJP,MALE,3,58,12th Pass,429710,3364,433074,26.8813747,35.18269535,1611056
Assam,KALIABOR,13727834,1,INC,MALE,0,36,Post Graduate,785014,1078,786092,45.30951538,55.17228794,1734938
Tamil Nadu,KALLAKURICHI,471186830,1,DMK,MALE,1,44,Post Graduate,716961,4752,721713,47.20354913,59.89642595,1528938
Maharashtra,KALYAN,19616515,1,SHS,MALE,1,32,Post Graduate,558023,1700,559723,28.47483512,62.84136379,1965676
Tamil Nadu,KANCHEEPURAM,48172936,1,DMK,MALE,0,44,Post Graduate,680087,3917,684004,41.60628519,55.24367649,1643992
Odisha,KANDHAMAL,1244722,1,BJD,MALE,0,55,Doctorate,461154,525,461679,35.82611786,49.00837649,1288666
Himachal Pradesh,KANGRA,85841247,1,BJP,MALE,2,67,12th Pass,712133,13085,725218,50.8091286,71.83534148,1427338
Chhattisgarh,KANKER,28675553,1,BJP,MALE,0,61,Post Graduate,543376,2857,546233,35.03847456,47.07918945,1558952
Uttar Pradesh,KANNAUJ,54287991,1,BJP,MALE,11,39,Graduate,561286,1801,563087,30.03412587,49.35095553,1874824
Tamil Nadu,KANNIYAKUMARI,4174930444,1,INC,MALE,0,68,Post Graduate,624627,2608,627235,41.78084929,59.76928362,1501250
Kerala,KANNUR,29699206,1,INC,MALE,3,70,Post Graduate,527685,2056,529741,41.82551024,50.22450903,1266550
Uttar Pradesh,KANPUR,132382819,1,BJP,MALE,0,71,Post Graduate,466442,2495,468937,28.71658799,55.59953001,1632983
West Bengal,KANTHI,33979650,1,AITC,MALE,3,77,12th Pass,711233,639,711872,42.88005821,49.95712178,1660147
Bihar,KARAKAT,43442051,1,JD(U),MALE,3,64,8th Pass,396282,2126,398408,22.49299084,45.81793258,1771254
Rajasthan,KARAULI-DHOLPUR,64867148,1,BJP,MALE,0,49,Post Graduate,523801,2642,526443,29.07602782,52.69014042,1810574
Assam,KARIMGANJ,1871040,1,BJP,MALE,0,46,Graduate,471946,1100,473046,35.29738325,44.57819744,1340173
Telangana,KARIMNAGAR,2270000,1,BJP,MALE,6,47,Post Graduate,497462,814,498276,30.17033162,43.39623463,1651543
Haryana,KARNAL,2256739,1,BJP,MALE,0,51,Graduate,909432,2162,911594,47.87298346,70.04319717,1904193
Tamil Nadu,KARUR,6046055,1,INC,FEMALE,0,43,Post Graduate,691518,4179,695697,50.14805887,63.03630243,1387286
Kerala,KASARAGOD,21570257,1,INC,MALE,1,65,Graduate,473983,978,474961,34.82279607,43.17438703,1363937
Bihar,KATIHAR,13302734,1,JD(U),MALE,1,51,Graduate,558984,439,559423,33.83566607,50.02490412,1653353
Uttar Pradesh,KAUSHAMBI,59336113,1,BJP,MALE,4,49,Graduate,381517,1492,383009,21.43163302,39.28148368,1787120
Odisha,KENDRAPARA,22309172,1,BJD,MALE,0,37,Graduate,629349,830,630179,36.83284276,50.88457489,1710916
Punjab,KHADOOR SAHIB,81393500,1,INC,MALE,0,48,Others,457990,1720,459710,28.05090424,43.85918046,1638842
Bihar,KHAGARIA,109788313,1,LJP,MALE,1,52,Graduate,509138,1055,510193,30.43286604,52.73797796,1676454
Madhya Pradesh,KHAJURAHO,10589334,1,BJP,MALE,0,49,Post Graduate,810410,725,811135,44.03328819,64.46194756,1842095
Telangana,KHAMMAM,1074671341,1,TRS,MALE,5,62,12th Pass,566621,838,567459,37.48550841,49.7837431,1513809
Madhya Pradesh,KHANDWA,19076515,1,BJP,MALE,0,66,Post Graduate,837969,940,838909,43.94367894,57.14031751,1909055
Madhya Pradesh,KHARGONE,67303990,1,BJP,MALE,0,43,Graduate Professional,772221,1329,773550,42.16944644,54.1700922,1834385
Gujarat,KHEDA,13023202,1,BJP,MALE,0,54,Others,711757,2815,714572,39.6098065,64.89189255,1804028
Uttar Pradesh,KHERI,45295455,1,BJP,MALE,1,60,Graduate Professional,609285,304,609589,34.42646096,53.62456148,1770699
Jharkhand,KHUNTI,91507865,1,BJP,MALE,0,50,12th Pass,381566,1072,382638,31.81586877,45.9440897,1202664
Bihar,KISHANGANJ,90973803,1,INC,MALE,1,54,Graduate Professional,366820,197,367017,22.11410712,33.31502756,1659651
Jharkhand,KODARMA,97636939,1,BJP,FEMALE,0,50,Post Graduate,751996,1020,753016,41.50849583,62.25016761,1814125
Assam,KOKRAJHAR,13013994,1,IND,MALE,5,50,12th Pass,482556,2004,484560,27.27828512,32.74620475,1776358
Karnataka,KOLAR,174557500,1,BJP,MALE,2,44,12th Pass,707930,1235,709165,43.50809621,56.32348047,1629961
Maharashtra,KOLHAPUR,95171892,1,SHS,MALE,0,54,Post Graduate,745675,3410,749085,39.8344373,56.21634156,1880496
West Bengal,KOLKATA DAKSHIN,10308401,1,AITC,FEMALE,3,61,Graduate,572188,931,573119,33.15028305,47.47994327,1728851
West Bengal,KOLKATA UTTAR,61176355,1,AITC,MALE,2,70,Graduate Professional,474490,401,474891,32.88532092,49.95492506,1444082
Kerala,KOLLAM,17500650,1,RSP,MALE,5,58,Graduate Professional,497264,2413,499677,38.53391634,51.56534921,1296720
Karnataka,KOPPAL,28725791,1,BJP,MALE,1,64,10th Pass,584997,1786,586783,33.78737635,49.28352876,1736693
Odisha,KORAPUT,37587560,1,INC,MALE,0,40,Graduate Professional,370434,695,371129,25.87375487,34.34252301,1434384
Chhattisgarh,KORBA,150639697,1,INC,FEMALE,0,65,Post Graduate,522671,639,523310,34.68293524,46.00838914,1508840
Rajasthan,KOTA,48347737,1,BJP,MALE,1,56,Post Graduate,796071,3980,800051,41.07016904,58.48633846,1948010
Kerala,KOTTAYAM,26027478,1,KEC(M),MALE,0,66,Graduate Professional,420294,752,421046,34.89240887,46.23586721,1206698
Kerala,KOZHIKODE,12502009,1,INC,MALE,1,66,Graduate,491835,1609,493444,37.43816501,45.82154776,1318024
Tamil Nadu,KRISHNAGIRI,121087979,1,INC,MALE,5,58,Post Graduate,609396,1902,611298,39.94357046,52.59504437,1530404
West Bengal,KRISHNANAGAR,26495250,1,AITC,FEMALE,0,44,Graduate,613652,1220,614872,37.68295359,44.992796,1631698
Andhra Pradesh,KURNOOL,325914387,1,YSRCP,MALE,0,52,Post Graduate,603098,2364,605462,38.49068886,50.85044412,1573009
Haryana,KURUKSHETRA,35785621,1,BJP,MALE,0,49,Graduate Professional,686588,2041,688629,41.55038058,55.93312026,1657335
Uttar Pradesh,KUSHI NAGAR,21860780,1,BJP,MALE,2,50,12th Pass,595508,1531,597039,33.8925523,56.68222715,1761564
Jammu & Kashmir,LADAKH,981904,1,BJP,MALE,1,33,Graduate,41315,1599,42914,23.94326906,33.69768355,179232
Assam,LAKHIMPUR,14307978,1,BJP,MALE,0,53,12th Pass,774017,2389,776406,45.45667978,60.47011176,1708013
Lakshadweep,LAKSHADWEEP,938641,1,NCP,MALE,2,43,Post Graduate,22796,55,22851,41.40499012,48.59226811,55189
Uttar Pradesh,LALGANJ,88451770,1,BSP,FEMALE,0,44,Graduate Professional,517545,1275,518820,29.61335175,53.98391782,1751980
Maharashtra,LATUR,286478302,1,BJP,MALE,0,57,10th Pass,657590,3905,661495,35.06175208,56.14983248,1886657
Jharkhand,LOHARDAGA,12947303,1,BJP,MALE,0,52,Graduate,369527,2068,371595,30.10606942,45.40688957,1234286
Uttar Pradesh,LUCKNOW,51492709,1,BJP,MALE,0,67,Post Graduate,627881,5145,633026,31.0251048,56.64003293,2040367
Punjab,LUDHIANA,54281096,1,INC,MALE,3,43,12th Pass,383284,511,383795,22.79981584,36.65576276,1683325
Uttar Pradesh,MACHHLISHAHR,259027394,1,BJP,MALE,0,58,Graduate,487093,1304,488397,26.42403368,47.16943047,1848306
Andhra Pradesh,MACHILIPATNAM,990575840,1,YSRCP,MALE,2,50,Post Graduate,567592,5258,572850,38.88086106,45.99165671,1473347
Maharashtra,MADHA,1275160578,1,BJP,MALE,2,42,12th Pass,583191,3123,586314,30.70391616,48.14443478,1909574
Bihar,MADHEPURA,37420953,1,JD(U),MALE,1,67,Graduate Professional,623460,874,624334,33.12322303,54.40098566,1884883
Bihar,MADHUBANI,46699125,1,BJP,MALE,1,49,Doctorate,594811,1032,595843,33.23536729,61.76420588,1792798
Tamil Nadu,MADURAI,1811456,1,CPI(M),MALE,0,49,12th Pass,444152,2923,447075,29.04921684,43.95490413,1539026
Telangana,MAHABUBABAD,19731269,1,TRS,FEMALE,1,39,Graduate,461824,285,462109,32.44270334,46.97628461,1424385
Uttar Pradesh,MAHARAJGANJ,10451986,1,BJP,MALE,5,54,12th Pass,725557,792,726349,37.92137237,59.18634251,1915408
Bihar,MAHARAJGANJ,10451986,1,BJP,MALE,5,55,Graduate,543523,2829,546352,30.22246217,56.1519195,1807768
Chhattisgarh,MAHASAMUND,17591683,1,BJP,MALE,0,51,Graduate,614924,1656,616580,37.64337273,50.42497876,1637951
Telangana,MAHBUBNAGAR,63353123,1,TRS,MALE,0,60,12th Pass,411241,161,411402,27.31567981,41.77658268,1506102
Gujarat,MAHESANA,440308300,1,BJP,FEMALE,0,71,12th Pass,656686,2839,659525,39.99862936,60.80381533,1648869
Uttar Pradesh,MAINPURI,205604593,1,SP,MALE,1,79,Post Graduate,523145,1781,524926,30.46164309,53.65909507,1723236
Kerala,MALAPPURAM,52932535,1,IUML,MALE,2,67,Graduate,589153,720,589873,43.03933329,57.00363066,1370544
West Bengal,MALDAHA DAKSHIN,270959520,1,INC,MALE,0,72,Doctorate,443540,730,444270,28.19705634,34.70921743,1575590
West Bengal,MALDAHA UTTAR,10232439,1,BJP,MALE,4,59,Graduate,507798,1726,509524,30.22168445,37.5930652,1685955
Telangana,MALKAJGIRI,245357182,1,INC,MALE,42,51,Graduate,602907,841,603748,19.16469887,38.61155274,3150313
Himachal Pradesh,MANDI,15724337,1,BJP,MALE,0,60,10th Pass,638441,8748,647189,50.50395564,68.62008932,1281462
Madhya Pradesh,MANDLA,26702373,1,BJP,MALE,0,59,Post Graduate,735365,1901,737266,37.78396293,48.57045544,1951267
Madhya Pradesh,MANDSOUR,90908944,1,BJP,MALE,1,59,Post Graduate,845944,1842,847786,48.14572301,61.81293223,1760875
Karnataka,MANDYA,234154139,1,IND,FEMALE,0,55,10th Pass,702167,1493,703660,41.10153948,51.00382569,1712004
Assam,MANGALDOI,6206286,1,BJP,MALE,0,45,Graduate,732740,2729,735469,40.85400978,48.8223396,1800237
Uttar Pradesh,MATHURA,2508270292,1,BJP,FEMALE,0,70,Doctorate,667342,3951,671293,37.13123509,60.78763045,1807893
West Bengal,MATHURAPUR,10667304,1,AITC,MALE,0,80,Post Graduate,726463,365,726828,43.99429573,51.84152283,1652096
Maharashtra,MAVAL,1023310134,1,SHS,MALE,3,55,8th Pass,718950,1713,720663,31.35935215,52.62403465,2298080
Kerala,MAVELIKKARA,12965129,1,INC,MALE,1,56,Post Graduate,437997,2418,440415,33.66824605,45.29340985,1308102
Tamil Nadu,MAYILADUTHURAI,13355095,1,DMK,MALE,0,74,Graduate,595845,3447,599292,40.3606579,54.59126601,1484842
Odisha,MAYURBHANJ,2742000,1,BJP,MALE,1,54,10th Pass,480253,3559,483812,32.40090945,42.00876449,1493205
Telangana,MEDAK,1266581773,1,TRS,MALE,0,53,Graduate,595830,218,596048,37.17590646,51.81534706,1603318
West Bengal,MEDINIPUR,4536462,1,BJP,MALE,14,54,10th Pass,683285,2148,685433,40.94004668,48.60120497,1674236
Uttar Pradesh,MEERUT,13489377,1,BJP,MALE,3,68,Post Graduate,582976,3208,586184,30.96700302,48.16868539,1892931
Uttar Pradesh,MIRZAPUR,26900662,1,ADAL,FEMALE,2,37,Post Graduate,590867,697,591564,32.06048289,53.3392723,1845150
Uttar Pradesh,MISRIKH,48771207,1,BJP,MALE,0,52,Post Graduate,533562,867,534429,29.74119221,52.01852865,1796932
Mizoram,MIZORAM,131201374,1,MNF,MALE,0,62,Graduate,223509,777,224286,28.30235821,44.82609069,792464
Uttar Pradesh,MOHANLALGANJ,55530561,1,BJP,MALE,1,59,Graduate,627223,2776,629999,31.13518573,49.583576,2023431
Uttar Pradesh,MORADABAD,55795546,1,SP,MALE,0,60,Post Graduate,648817,599,649416,33.15141513,50.64600531,1958939
Madhya Pradesh,MORENA,23062224,1,BJP,MALE,1,61,Graduate,537856,3833,541689,29.47609623,47.56940602,1837723
Maharashtra,MUMBAI NORTH,157535232,1,BJP,MALE,9,65,5th Pass,705555,1123,706678,42.89786627,71.38435617,1647350
Maharashtra,MUMBAI NORTH CENTRAL,22242513,1,BJP,FEMALE,2,38,Others,485815,857,486672,28.97045106,53.96691273,1679891
Maharashtra,MUMBAI NORTH EAST,54661944,1,BJP,MALE,2,46,10th Pass,513579,1020,514599,32.39134307,56.60028091,1588693
Maharashtra,MUMBAI NORTH WEST,105392000,1,SHS,MALE,0,75,Graduate,569018,1045,570063,32.90857104,60.52710093,1732263
Maharashtra,MUMBAI SOUTH,27181577,1,SHS,MALE,1,67,Graduate,420530,1407,421937,27.14859836,52.62378726,1554176
Maharashtra,MUMBAI SOUTH CENTRAL,18881363,1,SHS,MALE,0,47,Others,423743,1170,424913,29.50006248,53.2537163,1440380
Bihar,MUNGER,88324866,1,JD(U),MALE,1,65,Graduate,525519,3243,528762,28.00609102,51.01708636,1888025
West Bengal,MURSHIDABAD,8926616,1,AITC,MALE,3,57,8th Pass,604024,322,604346,35.03075319,41.55888631,1725187
