Name,Selling Price,Seller,Owner Type,Mileage,Age of Bike
Royal Enfield Classic 350,175000,Individual,First Owner,350,1
Honda Dio,45000,Individual,First Owner,5650,3
Royal Enfield Classic Gunmetal Grey,150000,Individual,First Owner,12000,2
Yamaha Fazer FI V 2.0 [2016-2018],65000,Individual,First Owner,23000,5
Yamaha SZ [2013-2014],20000,Individual,Used,21000,9
Honda CB Twister,18000,Individual,First Owner,60000,10
Honda CB Hornet 160R,78500,Individual,First Owner,17000,2
Royal Enfield Bullet 350 [2007-2011],180000,Individual,Used,39000,12
Hero Honda CBZ extreme,30000,Individual,First Owner,32000,10
Bajaj Discover 125,50000,Individual,First Owner,42000,4
Yamaha FZ16,35000,Individual,First Owner,32000,5
Honda Navi,28000,Individual,Used,10000,4
Bajaj Avenger Street 220,80000,Individual,First Owner,21178,2
Yamaha YZF R3,365000,Individual,First Owner,1127,1
Jawa 42,185000,Individual,First Owner,1700,0
Suzuki Access 125 [2007-2016],25000,Individual,First Owner,55000,8
Hero Honda Glamour,25000,Individual,First Owner,27000,14
Yamaha YZF R15 S,40000,Individual,Used,45000,10
Royal Enfield Classic Gunmetal Grey,150000,Individual,First Owner,23000,2
Yamaha FZ25,120000,Individual,First Owner,39000,2
Hero Passion Pro 110,15000,Individual,First Owner,60000,12
Honda Navi [2016-2017],26000,Individual,First Owner,17450,4
Honda Activa i,32000,Individual,Used,20696,7
Jawa Standard,180000,Individual,First Owner,2000,1
Royal Enfield Thunderbird 350,110000,Individual,First Owner,20000,4
Honda Dream Yuga,25000,Individual,First Owner,35000,8
TVS Apache RTR 160 4V,80000,Individual,First Owner,15210,2
Honda Navi [2016-2017],42000,Individual,First Owner,24000,3
Yamaha Fazer [2009-2016],40000,Individual,Used,35000,7
Hero Honda Splendor NXG,21000,Individual,First Owner,10000,11
Hero Glamour 125,55000,Individual,First Owner,2500,3
Yamaha FZ S [2012-2016],38000,Individual,First Owner,75000,7
Hero Xtreme Sports,43000,Individual,Used,50000,4
Honda X-Blade,65000,Individual,First Owner,27000,2
Honda CB Shine SP,62000,Individual,First Owner,10000,1
Honda Activa 5G,60000,Individual,First Owner,6502,2
Hero Glamour 125,45000,Individual,First Owner,21000,2
Honda CBR-250R,120000,Individual,First Owner,16000,4
Hero Honda Passion PRO [2012],30000,Individual,First Owner,42000,9
Royal Enfield Thunderbird 350,90000,Individual,Used,13000,5
Bajaj Dominar 400,125000,Individual,First Owner,12800,3
Hero Glamour FI,50000,Individual,First Owner,20000,2
KTM 390 Duke,175000,Individual,First Owner,4600,3
Hero Passion XPro,28000,Individual,First Owner,81000,8
Yamaha FZ S V 2.0,85000,Individual,First Owner,8000,2
Hero Achiever 150,29900,Individual,First Owner,55000,4
Bajaj Discover 125,25000,Individual,First Owner,57000,9
Yamaha FZ16,30000,Individual,Used,26000,11
Yamaha Saluto,60000,Individual,First Owner,13000,2
Yamaha FZ16,35000,Individual,Used,29000,8
Bajaj Discover 100,25000,Individual,First Owner,43000,10
Honda CB Trigger,30000,Individual,First Owner,40000,5
Royal Enfield Electra 5 S,90000,Individual,Used,40000,10
Hero Splendor PRO,35000,Individual,Used,24000,5
Honda Activa 5G,70000,Individual,First Owner,3000,1
Hero Honda Passion Plus,25000,Individual,First Owner,75000,14
Bajaj Pulsar 150,25000,Individual,First Owner,42000,10
Royal Enfield Bullet 350,90000,Individual,First Owner,13000,6
Bajaj Discover 125,25000,Individual,First Owner,55000,7
Bajaj Pulsar 150 [2001-2011],42000,Individual,First Owner,23000,9
Hero Splendor PRO,35000,Individual,Used,24000,5
Hero Xtreme Sports,50000,Individual,First Owner,80000,6
Honda Activa 3G,30000,Individual,First Owner,39000,5
Yamaha FZ16,48000,Individual,First Owner,20000,4
Honda CB Hornet 160R,65000,Individual,First Owner,30000,4
Royal Enfield Thunderbird 350,85000,Individual,First Owner,21000,7
Hero Hunk,45000,Individual,First Owner,41000,6
Suzuki Let''s,34000,Individual,First Owner,8000,6
Royal Enfield Electra 4 S,90000,Individual,First Owner,50000,12
TVS Scooty Pep Plus,35000,Individual,First Owner,8150,8
Mahindra Mojo XT300,165000,Individual,First Owner,1933,3
TVS Apache RTR 160,35000,Individual,First Owner,55750,7
Bajaj Pulsar AS200,65000,Individual,First Owner,15856,5
Bajaj Pulsar 150,29500,Individual,First Owner,27000,7
Royal Enfield Thunderbird 350X,165000,Individual,First Owner,3700,1
Suzuki Intruder 150,95000,Individual,First Owner,21938,2
Hero Honda Karizma ZMR [2010],50000,Individual,First Owner,48000,10
Honda Dio,7500,Individual,Used,16000,11
Bajaj Xcd,25000,Individual,First Owner,54000,12
Hero Splendor Plus,35000,Individual,Used,35000,6
Royal Enfield Thunderbird 350X,160000,Individual,First Owner,15000,2
Honda CB Unicorn 150,50000,Individual,First Owner,32000,6
Honda Activa 5G,62000,Individual,First Owner,3500,1
Honda CB Twister,30000,Individual,First Owner,9000,7
Hero Splendor PRO,28000,Individual,First Owner,38000,5
Hero Honda CD Deluxe,25000,Individual,First Owner,50000,11
Honda Activa i [2016-2017],30000,Individual,Used,20000,5
Royal Enfield Classic Gunmetal Grey,140000,Individual,First Owner,22000,2
TVS Scooty Zest 110,30000,Individual,First Owner,9432,3
Hero CD Deluxe,25000,Individual,First Owner,70000,6
Suzuki Access 125 [2007-2016],22000,Individual,Used,43000,10
Honda Activa [2000-2015],22989,Individual,First Owner,500000,8
Honda Activa 125 [2016-2017],42000,Individual,First Owner,30514,4
Suzuki GS150R,30000,Individual,First Owner,130000,10
Bajaj Pulsar 220S,55000,Individual,First Owner,45000,5
Honda Activa 4G,45000,Individual,First Owner,25000,2
Yamaha FZ25,150000,Individual,First Owner,2500,1
Bajaj Pulsar 150,42000,Individual,First Owner,22770,5
Hero Splendor Plus,30000,Individual,First Owner,30000,5
Bajaj Discover 100,24999,Individual,Used,35000,8
Royal Enfield Thunderbird 350X,160000,Individual,First Owner,6330,1
Royal Enfield Classic 350,175000,Individual,First Owner,500,0
Bajaj Pulsar 150,40000,Individual,First Owner,43400,7
Bajaj Pulsar NS160,85000,Individual,First Owner,7004,2
Royal Enfield Classic Desert Storm,150000,Individual,First Owner,16500,3
Suzuki Gixxer SF,80000,Individual,First Owner,12500,2
TVS Apache RTR 200 4V,95000,Individual,First Owner,9600,2
Bajaj V15,42000,Individual,First Owner,35000,4
TVS XL 100 Heavy Duty,40000,Individual,First Owner,11000,1
Yamaha FZ S V 2.0,50000,Individual,First Owner,20000,5
Hero HF Deluxe,40000,Individual,First Owner,13000,2
Aprilia SR 125,75000,Individual,First Owner,3500,1
Yamaha FZ25,120000,Individual,First Owner,9000,3
Hero Honda Glamour,30000,Individual,First Owner,7500,12
Bajaj Discover 125 ST,17500,Individual,First Owner,38000,7
Hero Honda Passion Plus,7500,Individual,First Owner,120000,16
Honda Aviator,57000,Individual,First Owner,6465,2
Vespa SXL 149,80000,Individual,First Owner,18803,2
TVS Scooty Pep Plus,18000,Individual,First Owner,20000,10
Hero Xtreme [2013-2014],25000,Individual,First Owner,24000,7
Royal Enfield Thunderbird 350,83900,Individual,Used,22000,6
UM Renegade Commando,160000,Individual,First Owner,7000,2
Royal Enfield Classic Gunmetal Grey,135000,Individual,First Owner,6100,2
Honda CB Hornet 160R,55000,Individual,First Owner,14000,3
Honda Shine,50000,Individual,First Owner,23000,3
Bajaj Discover 100,20000,Individual,First Owner,85000,8
Hero Honda CBZ extreme,25000,Individual,First Owner,40000,10
Royal Enfield Classic 350,125000,Individual,First Owner,18000,3
Honda Activa 5G,55000,Individual,First Owner,10000,1
Bajaj Avenger Street 150 [2018],50000,Individual,First Owner,40000,4
Royal Enfield Continental GT 650,299000,Individual,First Owner,1500,1
Honda Activa 3G,60000,Individual,First Owner,30000,5
Honda Activa 3G,40000,Individual,First Owner,3000,5
Bajaj Pulsar 180,15000,Individual,First Owner,55000,12
Harley-Davidson Street Bob,750000,Individual,Used,12000,7
Hero Honda CBZ extreme,20000,Individual,First Owner,90000,13
Royal Enfield Classic Gunmetal Grey,190000,Individual,First Owner,500,0
KTM 390 Duke ABS [2013-2016],130000,Individual,First Owner,50000,5
Honda CB Hornet 160R,54786,Individual,First Owner,25000,4
KTM 200 Duke,72000,Individual,First Owner,36500,7
Hero Karizma 2014,35000,Individual,First Owner,26000,7
Hero Glamour 125,45000,Individual,First Owner,18000,3
Royal Enfield Classic 350,85000,Individual,First Owner,49000,7
Royal Enfield Classic 500,100000,Individual,First Owner,18000,7
Bajaj Dominar 400,138000,Individual,First Owner,15000,3
Royal Enfield Thunderbird 350X,150000,Individual,First Owner,8500,2
KTM RC 390,180000,Individual,First Owner,3775,3
Royal Enfield Thunderbird 350,100000,Individual,First Owner,14500,5
Hero Hunk,20000,Individual,First Owner,35000,10
KTM 390 Duke,170000,Individual,First Owner,14000,3
Suzuki Gixxer [2014-2018],60000,Individual,First Owner,16000,4
Royal Enfield Bullet 350,123000,Individual,First Owner,7000,4
Suzuki Access 125,60000,Individual,First Owner,4000,3
TVS Apache RTR 200 4V,100000,Individual,First Owner,45000,3
Hero Xtreme Sports,22000,Individual,First Owner,99000,6
Honda Activa [2000-2015],30000,Individual,First Owner,52000,6
Bajaj Discover 125,28000,Individual,First Owner,45000,7
Bajaj Pulsar 150,50000,Individual,First Owner,52000,13
Yamaha Saluto RX,40000,Individual,First Owner,27000,3
Hero HF Deluxe,43000,Individual,First Owner,60000,2
Suzuki Access 125,40000,Individual,First Owner,2300,5
Royal Enfield Classic Desert Storm,100000,Individual,First Owner,15000,8
Hero HF Deluxe,30000,Individual,First Owner,50000,4
KTM RC 200,130000,Individual,First Owner,27000,3
Honda CB Hornet 160R,48000,Individual,Used,25000,4
Bajaj CT 100,32000,Individual,First Owner,40000,3
Hero Honda Pleasure,23000,Individual,First Owner,32000,10
Bajaj Pulsar 135 LS,20000,Individual,Used,50000,10
Royal Enfield Classic 350,125000,Individual,First Owner,36000,3
Honda Navi [2016-2017],23000,Individual,First Owner,17450,4
Bajaj Discover 125,15000,Individual,First Owner,32000,9
Yamaha SZ RR V 2.0,35000,Individual,First Owner,38000,5
Bajaj Discover 150,25000,Individual,Used,71000,6
Bajaj Pulsar 150,80000,Individual,First Owner,8000,1
TVS Flame,15000,Individual,First Owner,12000,10
Vespa VX 125,45000,Individual,Used,50000,7
Yamaha SZ X,25000,Individual,Used,30000,8
Honda CBF Stunner,35000,Individual,First Owner,15888,7
Bajaj Discover 100 T,25000,Individual,First Owner,26000,7
Royal Enfield Classic 350,170000,Individual,First Owner,5600,2
Honda Activa [2000-2015],25000,Individual,First Owner,41000,6
Royal Enfield Electra 5 S,60000,Individual,Used,19612,13
Bajaj Pulsar 150,41000,Individual,First Owner,17000,8
Honda Shine,35000,Individual,First Owner,33700,8
Honda CB Unicorn 160,75000,Individual,First Owner,100000,5
Honda Activa 3G,47999,Individual,First Owner,6000,4
Honda Shine,36999,Individual,First Owner,21000,9
Bajaj Pulsar 180,25000,Individual,First Owner,80000,13
Suzuki Gixxer SF,60000,Individual,First Owner,15000,4
Honda CB Unicorn 150,50000,Individual,First Owner,46000,13
Yamaha YZF R15 [2011-2018],65000,Individual,First Owner,11000,7
TVS Sport,12000,Individual,First Owner,72000,13
Bajaj Pulsar AS200,60000,Individual,First Owner,50000,5
Honda Activa [2000-2015],20000,Individual,First Owner,50000,10
Yamaha FZ16,27000,Individual,First Owner,67000,9
Bajaj Boxer,10000,Individual,First Owner,30000,20
Hero Honda Hunk,56000,Individual,First Owner,48000,5
Hero Honda Hunk,58000,Individual,First Owner,48000,5
Bajaj Avenger Cruise 220,87000,Individual,First Owner,8000,2
Yamaha Ray Z,35000,Individual,First Owner,15500,5
Bajaj Pulsar 180,35000,Individual,First Owner,45000,8
Bajaj Discover 150F,40000,Individual,Used,60855,6
Bajaj Pulsar 135 LS,56000,Individual,Used,37714,3
Bajaj Pulsar 180,30000,Individual,Used,60000,12
Honda Activa 125 [2016-2017],40000,Individual,First Owner,26000,3
Hero HF Deluxe,60000,Individual,First Owner,6000,1
Hero Karizma 2014,40000,Individual,First Owner,30000,7
Bajaj Platina 100,40000,Individual,First Owner,17000,2
Royal Enfield Bullet 500,130000,Individual,First Owner,34601,5
Bajaj Pulsar AS200,45000,Individual,First Owner,48000,5
Yamaha FZ S [2012-2016],42000,Individual,First Owner,60000,7
Bajaj Pulsar 220 Fi,25000,Individual,First Owner,44000,8
Bajaj Pulsar 150,15000,Individual,First Owner,55000,14
Bajaj Dominar 400 [2018],170000,Individual,First Owner,16000,2
Hero Passion X Pro [2016-2017],38000,Individual,Used,20000,4
Yamaha FZ S V 2.0,60000,Individual,Used,17500,5
TVS Apache RTR 160,65000,Individual,First Owner,46000,3
Bajaj Avenger [2015],35000,Individual,First Owner,30000,9
Bajaj Pulsar 150,70000,Individual,First Owner,6500,1
Hero Honda Glamour,15000,Individual,First Owner,80000,14
Hero Splendor iSmart,50000,Individual,Used,10000,3
Royal Enfield Classic 350,145000,Individual,First Owner,2200,3
Yamaha FZ16,25000,Individual,First Owner,40000,12
Hero Xtreme Sports,58000,Individual,First Owner,21000,4
Royal Enfield Bullet 350 [2007-2011],90000,Individual,First Owner,3500,13
Hero Honda Passion,9000,Individual,Used,66191,18
Bajaj Discover 150S,40000,Individual,First Owner,50000,6
TVS Scooty Zest 110,28000,Individual,First Owner,32800,5
Bajaj Avenger Street 150 [2018],50000,Individual,First Owner,32000,4
Yamaha Cygnus Ray ZR,56000,Individual,First Owner,3900,1
Honda Activa [2000-2015],35000,Individual,First Owner,10000,6
TVS Apache RTR 200 4V,95000,Individual,First Owner,9600,2
Honda Shine,30000,Individual,First Owner,46782,10
Honda CB Hornet 160R,95000,Individual,First Owner,8000,1
Honda Activa i [2016-2017],40000,Individual,First Owner,11000,3
Hero Karizma 2014,30000,Individual,Used,51000,6
Bajaj Discover 100 T,18000,Individual,First Owner,45000,7
Honda Aviator,14000,Individual,First Owner,66000,12
Hero Splendor Plus,17000,Individual,Used,50000,10
Royal Enfield Thunderbird 350,125000,Individual,First Owner,23500,3
Bajaj CT 110,20000,Individual,First Owner,25000,5
Hero Passion PRO i3s,50000,Individual,First Owner,41000,3
KTM RC 390,210000,Individual,First Owner,12000,3
Bajaj Pulsar 220F,70000,Individual,First Owner,33000,2
Hero Maestro Edge,40000,Individual,First Owner,15000,3
Bajaj Xcd,10000,Individual,First Owner,50000,12
Bajaj Pulsar 150,35000,Individual,First Owner,40000,10
TVS Centra,10000,Individual,First Owner,50000,15
Honda Activa 3G,42000,Individual,First Owner,20000,5
Yamaha FZ16,20000,Individual,First Owner,50000,11
Hero Maestro Edge,25000,Individual,First Owner,55000,3
Bajaj Discover 125,25000,Individual,First Owner,70350,4
Royal Enfield Thunderbird 350X,145000,Individual,First Owner,2700,1
Hero Super Splendor,50000,Individual,First Owner,20000,4
TVS Scooty Pep Plus,30000,Individual,First Owner,20000,9
Yamaha FZ V 2.0,60000,Individual,First Owner,41311,6
Hero Honda Splendor Plus,15000,Individual,First Owner,65000,15
Hero CD Deluxe,15000,Individual,Used,34000,6
Hero Honda Passion PRO [2012],25000,Individual,First Owner,20000,9
Hero HF Deluxe i3s,54000,Individual,First Owner,11000,1
Bajaj Xcd,25000,Individual,First Owner,75000,13
Royal Enfield Interceptor 650,260000,Individual,First Owner,1200,1
Honda CBR-250R,100000,Individual,First Owner,19000,6
Bajaj Kristal,15000,Individual,First Owner,30000,13
Hero Honda Splendor Plus,20000,Individual,First Owner,23000,14
Honda Dream Yuga,35000,Individual,First Owner,10000,6
Yamaha FZ S V 2.0,50000,Individual,First Owner,40000,4
Hero Xpulse 200,90000,Individual,First Owner,8600,1
Bajaj V15,40000,Individual,First Owner,45000,4
Bajaj Avenger Street 220,80000,Individual,First Owner,7200,4
Bajaj Discover 135,20000,Individual,First Owner,31195,10
Honda CB Unicorn 150,70000,Individual,First Owner,18000,3
Vespa SXL 149,98000,Individual,First Owner,1000,1
Royal Enfield Machismo,75000,Individual,Used,17000,12
Honda CB Shine SP,50000,Individual,First Owner,46000,4
Honda CB Unicorn 150,40000,Individual,First Owner,77592,6
Honda CB Unicorn 150,75000,Individual,First Owner,54000,7
Honda CB Unicorn 150,50000,Individual,First Owner,17000,7
Bajaj Pulsar 150,60000,Individual,First Owner,60000,6
TVS Apache RTR 160,50000,Individual,First Owner,40000,4
Honda Dio,35000,Individual,First Owner,25000,6
Royal Enfield Thunderbird 350,160000,Individual,First Owner,19000,2
Hero Maestro,25000,Individual,Used,40000,5
Hero Honda CBZ extreme,42000,Individual,First Owner,51000,10
Bajaj Dominar 400,200000,Individual,First Owner,7600,1
Honda Activa 125,40000,Individual,First Owner,14965,6
Royal Enfield Classic Desert Storm,130000,Individual,Used,25000,5
KTM 250 Duke,195000,Individual,First Owner,6000,1
KTM RC 390,270000,Individual,First Owner,2380,1
Kawasaki Ninja 650 [2018-2019],425000,Individual,Used,13600,3
TVS Apache RTR 200 4V,85000,Individual,First Owner,10000,2
Kawasaki Ninja 250R,125000,Individual,Used,21000,10
TVS Wego,45000,Individual,First Owner,10000,2
Honda CBR-250R,85000,Individual,Used,18600,6
Bajaj Pulsar NS200,85000,Individual,First Owner,7750,2
Suzuki GSX S750,760000,Individual,First Owner,2800,1
Royal Enfield Thunderbird 350,100000,Individual,First Owner,30000,5
Royal Enfield Classic 350,95000,Individual,First Owner,9800,5
Honda CB Shine SP,48000,Individual,First Owner,25000,5
Bajaj Avenger Street 150 [2018],40000,Individual,First Owner,29689,4
Honda CBF Stunner,37000,Individual,First Owner,43000,6
Bajaj Avenger [2015],38000,Individual,Used,28243,6
Suzuki Gixxer [2014-2018],55000,Individual,First Owner,25000,5
Suzuki Access 125,45000,Individual,First Owner,22300,3
TVS Scooty Streak,18000,Individual,Used,33595,11
Royal Enfield Thunderbird 350X,140000,Individual,First Owner,5505,2
Yamaha Rx,70000,Individual,Used,5000,20
Hero Honda Splendor Plus,15000,Individual,First Owner,30000,13
Bajaj Pulsar 125,65000,Individual,First Owner,16000,1
Honda Activa 5G,42000,Individual,First Owner,22000,2
Yamaha Fazer Dlx,58000,Individual,First Owner,40000,8
Harley-Davidson Street 750,330000,Individual,Used,6500,6
Hero Xtreme 2014,35000,Individual,First Owner,15000,7
Royal Enfield Classic 350,162000,Individual,First Owner,17365,2
Hero Honda Hunk,28000,Individual,First Owner,40000,11
Royal Enfield Interceptor 650,285000,Individual,First Owner,5500,1
Royal Enfield Classic 350,125000,Individual,First Owner,33900,3
Bajaj Pulsar 150 [2001-2011],15000,Individual,First Owner,47670,15
Honda Activa [2000-2015],29500,Individual,First Owner,45000,7
TVS Apache RR310,200000,Individual,First Owner,5000,1
Jawa Standard,160000,Individual,First Owner,5700,1
Hero Honda Splendor PRO,30000,Individual,First Owner,22866,8
Yamaha FZ25,110000,Individual,First Owner,10000,1
Bajaj Pulsar 220F,70000,Individual,First Owner,31000,4
Yamaha Fascino 110,69000,Individual,First Owner,1600,1
Yamaha FZ16,30000,Individual,First Owner,44000,9
Yamaha FZ16,30000,Individual,First Owner,70000,10
TVS Star City Plus,42000,Individual,First Owner,21000,3
Royal Enfield Classic 350,160000,Individual,First Owner,17365,2
Bajaj Pulsar 135 LS,20000,Individual,First Owner,80000,10
Suzuki Access 125,45000,Individual,First Owner,15000,3
Bajaj Pulsar 135 LS,23000,Individual,First Owner,77000,10
UM Renegade Commando,140000,Individual,Used,40000,3
Hero Honda Splendor Plus,12000,Individual,First Owner,48000,15
Hero Passion PRO i3s,50000,Individual,First Owner,18000,3
Royal Enfield Classic 350,140000,Individual,First Owner,20000,2
Honda Activa 5G,55000,Individual,First Owner,9000,1
Yamaha Fascino 110,45000,Individual,First Owner,56000,4
Hero Splendor Plus,25000,Individual,First Owner,50000,8
Royal Enfield Thunderbird 350,90000,Individual,First Owner,12000,6
Yamaha YZF R15 V3,120000,Individual,First Owner,11500,2
KTM RC 200,120000,Individual,First Owner,20000,5
TVS Radeon,35000,Individual,First Owner,20000,3
Hero HF Deluxe,35000,Individual,First Owner,27000,3
BMW G310GS,300000,Individual,First Owner,2500,2
Royal Enfield Thunderbird 350,87000,Individual,First Owner,20477,8
Hero Honda Splendor Plus,18000,Individual,First Owner,35700,10
Yamaha FZ S V 2.0,50000,Individual,First Owner,70000,6
Bajaj Avenger Street 220,60000,Individual,First Owner,29000,4
