Name,Selling Price,Seller,Owner Type,Mileage,Age of Bike
Hero Duet,37000,Individual,First Owner,6000,4
Hero Splendor NXG,18000,Individual,First Owner,35000,9
Hero Glamour 125,25000,Individual,First Owner,50000,7
Honda Activa 5G,46000,Individual,First Owner,10000,2
Yamaha Fascino 110,55000,Individual,First Owner,7000,1
Bajaj V15,40000,Individual,First Owner,34000,4
Hero Honda Passion PRO [2012],25000,Individual,Used,20000,8
Honda Activa [2000-2015],25000,Individual,First Owner,38000,8
Bajaj Xcd,15000,Individual,First Owner,100000,12
Bajaj Pulsar NS160,70000,Individual,First Owner,20000,2
Honda CB Hornet 160R,70000,Individual,First Owner,240000,3
Yamaha RXG,25000,Individual,First Owner,45354,23
TVS Streak,10000,Individual,First Owner,100000,11
Bajaj Pulsar RS 200,80000,Individual,First Owner,32000,5
Yamaha Alpha,25000,Individual,Used,14000,5
Honda Livo,35000,Individual,First Owner,70000,4
Mahindra Gusto,25000,Individual,First Owner,13500,4
Bajaj Discover 125,26000,Individual,First Owner,75000,8
Hero Glamour 125,15000,Individual,First Owner,75000,9
Honda CB Unicorn 160,50000,Individual,First Owner,52000,3
Hero Pleasure,26500,Individual,First Owner,18860,7
Royal Enfield Classic 350,135000,Individual,First Owner,2700,3
Honda CB Hornet 160R,80000,Individual,First Owner,100000,4
Bajaj CT 100,30000,Individual,First Owner,38500,4
Yamaha FZ S V 2.0,90000,Individual,First Owner,10500,2
Bajaj Pulsar 180,85000,Individual,First Owner,35000,4
Hero Glamour 125,54000,Individual,First Owner,17000,7
Bajaj CT 100,42000,Individual,First Owner,2900,1
Bajaj Discover 100 T,25000,Individual,First Owner,30000,6
TVS Star City Plus,50000,Individual,Used,14000,4
Honda CB Unicorn 150,55000,Individual,First Owner,10000,6
Hero Passion PRO TR,35000,Individual,First Owner,9556,6
Honda CB Shine SP,50000,Individual,First Owner,37000,2
Bajaj V15,45000,Individual,First Owner,2700,5
Bajaj V15,45000,Individual,First Owner,36000,4
Bajaj Discover 100,28000,Individual,Used,52000,5
Royal Enfield Electra 4 S,80000,Individual,First Owner,46000,7
KTM 200 Duke,130000,Individual,First Owner,12000,4
Bajaj Pulsar 220F,120000,Individual,First Owner,6500,1
Suzuki GS150R,27000,Individual,First Owner,14100,8
Honda Shine,30000,Individual,First Owner,40000,6
Honda CB Unicorn Dazzler,50000,Individual,First Owner,75000,10
Honda Livo,45000,Individual,First Owner,10000,2
Honda Aviator,28000,Individual,First Owner,29625,11
Honda Activa [2000-2015],6000,Individual,Used,35000,14
Hero Hunk,35000,Individual,First Owner,32000,4
Honda Activa 125,30000,Individual,First Owner,20000,6
Bajaj Discover 110,15000,Individual,First Owner,70000,13
Hero Xtreme [2013-2014],45000,Individual,First Owner,57000,7
TVS Victor GLX,18000,Individual,First Owner,11000,15
Bajaj Pulsar NS200,85000,Individual,First Owner,17500,2
Honda Aviator,30000,Individual,First Owner,7000,6
Bajaj Platina 100,40000,Individual,First Owner,17500,2
TVS Sport,34000,Individual,First Owner,25000,2
Hero Honda Passion Plus,8000,Individual,First Owner,53500,17
Bajaj V15,70000,Individual,First Owner,15000,2
Honda Dio,50000,Individual,First Owner,8000,4
Honda Dream Yuga,35000,Individual,First Owner,39448,5
Hero Honda Splendor Plus,20000,Individual,First Owner,75000,14
Bajaj Pulsar 150,50000,Individual,First Owner,28000,8
Bajaj Discover 135,37000,Individual,First Owner,62000,12
Honda Livo,69000,Individual,First Owner,12000,2
Hero Honda Splendor NXG,28000,Individual,First Owner,49999,8
Bajaj Discover 125,25000,Individual,First Owner,70000,9
Yamaha FZ V 2.0,60000,Individual,First Owner,25000,2
Yamaha SZ-S,50000,Individual,First Owner,20000,6
Royal Enfield Thunderbird 350,135000,Individual,First Owner,4500,4
Bajaj Discover 125 M,30000,Individual,First Owner,45000,6
Yamaha FZ S [2012-2016],60000,Individual,First Owner,68000,6
Honda Activa [2000-2015],23000,Individual,First Owner,95000,11
Bajaj Xcd,20000,Individual,First Owner,16000,11
Bajaj Avenger Street 160,80000,Individual,First Owner,5000,1
Royal Enfield Electra 5 S,99000,Individual,Used,36000,14
TVS Apache RTR 200 4V,90000,Individual,First Owner,70000,2
Hero Honda Splendor Plus,20000,Individual,First Owner,27370,15
Hero Glamour 125,50000,Individual,First Owner,8600,3
TVS Victor GLX,27000,Individual,First Owner,49000,18
Honda Grazia,60000,Individual,First Owner,16000,2
Bajaj Pulsar 150 [2001-2011],12000,Individual,Used,100000,13
Hero Xtreme 2014,50000,Individual,First Owner,10000,6
Hero Pleasure,20000,Individual,Used,30000,8
Hero Passion XPro,45000,Individual,First Owner,7000,2
Hero Super Splendor,40000,Individual,First Owner,68000,7
Yamaha FZ S [2012-2016],45000,Individual,Used,20000,4
Honda Activa [2000-2015],25000,Individual,First Owner,25000,5
Hero Glamour FI,75000,Individual,First Owner,8900,1
Hero Honda Passion Plus,25000,Individual,First Owner,70000,13
Hero Splendor Plus,25000,Individual,Used,40000,14
Hero Xpulse 200,100000,Individual,First Owner,8500,1
Honda CB Unicorn 150,30000,Individual,First Owner,32000,8
Bajaj Discover 135,25000,Individual,First Owner,55000,10
Hero Honda Splendor,10000,Individual,First Owner,75000,14
Hero Honda CD Deluxe,25000,Individual,Used,65000,12
Royal Enfield Electra Twinspark,120000,Individual,First Owner,345000,4
Honda Dream Neo,42000,Individual,First Owner,21000,6
Hero Maestro,30000,Individual,First Owner,60000,7
Honda CBR150 R,77000,Individual,First Owner,38000,6
Honda CB Unicorn Dazzler,25000,Individual,First Owner,40000,9
TVS Apache [2006],15000,Individual,First Owner,40000,14
Hero Passion XPro,25000,Individual,First Owner,25000,7
Honda Activa 5G,50000,Individual,First Owner,25000,2
Honda Activa i,30000,Individual,First Owner,25000,6
TVS Apache RTR 200 4V,125000,Individual,First Owner,3000,1
Hero Honda CBZ extreme,35000,Individual,First Owner,28000,9
Suzuki Gixxer [2014-2018],45000,Individual,First Owner,40000,5
Hero Xpulse 200,98000,Individual,First Owner,8500,1
Bajaj Pulsar 150,75000,Individual,First Owner,30000,3
Bajaj Pulsar AS150,55000,Individual,Used,20000,3
Bajaj Platina 100,25000,Individual,First Owner,30000,7
Honda CB Twister,70000,Individual,First Owner,12566,6
Suzuki SlingShot,24000,Individual,First Owner,17000,9
TVS Apache RTR 160,70000,Individual,First Owner,17000,2
Bajaj V12,45000,Individual,First Owner,35000,3
Hero Karizma 2014,25000,Individual,First Owner,40000,5
Yamaha YZF R15 V3,170000,Individual,First Owner,1400,1
Yamaha Fascino 110,38000,Individual,First Owner,37000,4
Honda CB Unicorn 160,45000,Individual,First Owner,15000,5
Yamaha Gladiator,15000,Individual,First Owner,46000,11
Hero Honda Glamour,45000,Individual,First Owner,75000,8
Bajaj Discover 100,22000,Individual,First Owner,14289,6
Mahindra Gusto,30000,Individual,Used,20000,5
Royal Enfield Thunderbird 350,100000,Individual,First Owner,28000,8
Royal Enfield Classic 350,100000,Individual,First Owner,19000,6
Bajaj Pulsar 150,60000,Individual,First Owner,28450,3
Royal Enfield Electra Twinspark,100000,Individual,First Owner,31500,6
Bajaj Pulsar 150,40000,Individual,First Owner,28000,4
Bajaj Pulsar 150,21000,Individual,First Owner,100000,13
Hero HF Deluxe,40000,Individual,First Owner,16000,2
Honda Activa [2000-2015],25000,Individual,First Owner,17860,13
Yamaha FZ S [2012-2016],45000,Individual,First Owner,24000,5
Bajaj Avenger Cruise 220,75000,Individual,First Owner,10950,4
Honda Dio,45000,Individual,First Owner,35850,3
Honda Activa i [2016-2017],35000,Individual,First Owner,29000,4
Royal Enfield Bullet 350 [2007-2011],60000,Individual,Used,4000,19
Yamaha FZ V 2.0,60000,Individual,First Owner,45420,4
Royal Enfield Classic 350,130000,Individual,Used,35000,2
Honda CB Shine SP,42000,Individual,First Owner,19800,3
Bajaj V15,76000,Individual,First Owner,23000,2
Hero CBZ,40000,Individual,First Owner,35000,6
Hero Splendor Plus,65000,Individual,First Owner,7500,2
Bajaj Discover 100 T,20000,Individual,First Owner,20000,7
Honda CB Hornet 160R,75000,Individual,First Owner,72000,4
Honda CB Hornet 160R,70000,Individual,First Owner,7000,2
TVS Apache RTR 160 4V,105000,Individual,First Owner,6000,1
Honda CB Shine SP,50000,Individual,First Owner,34300,3
Royal Enfield Classic 350,120000,Individual,First Owner,7199,3
Bajaj Pulsar 180,25000,Individual,First Owner,43000,9
TVS XL 100,30000,Individual,First Owner,8000,3
Hero Super Splendor,50000,Individual,First Owner,9999,3
Hero Honda CBZ extreme,25000,Individual,First Owner,80000,13
Bajaj Pulsar 180,50000,Individual,First Owner,30000,6
Bajaj Discover 150,35000,Individual,First Owner,12000,5
Bajaj Pulsar 180,30000,Individual,First Owner,17500,11
Honda Shine,37000,Individual,First Owner,45000,4
Honda CB Unicorn 150,42000,Individual,First Owner,38000,7
Royal Enfield Himalayan,119000,Individual,First Owner,19800,4
Kawasaki Ninja 650 [2018-2019],300000,Individual,First Owner,12000,9
Royal Enfield Classic 350,130000,Individual,Used,10000,27
Hero Honda Passion Plus,22000,Individual,Used,85000,12
Hero Honda Splendor Plus,15000,Individual,First Owner,70000,13
Benelli TNT 25,160000,Individual,First Owner,2009,3
Royal Enfield Thunderbird 500X,185000,Individual,First Owner,1500,2
Royal Enfield Continental GT [2013 - 2018],110000,Individual,First Owner,12077,6
KTM RC 200,150000,Individual,First Owner,20000,3
Royal Enfield Bullet 350 [2007-2011],150000,Individual,Used,20000,25
Bajaj Pulsar 220F,45000,Individual,First Owner,40000,9
Bajaj Avenger Street 220,75000,Individual,First Owner,12000,2
Honda Activa 125 [2016-2017],50000,Individual,First Owner,27000,3
Honda Shine,30000,Individual,First Owner,93000,7
Bajaj Discover 150F,30000,Individual,First Owner,12000,5
Bajaj Pulsar 150 [2001-2011],22000,Individual,First Owner,36000,9
Hero Karizma ZMR,75000,Individual,First Owner,11000,5
Honda Dream Yuga,45000,Individual,First Owner,26000,3
Hero Glamour 125,35000,Individual,First Owner,450000,6
Honda Activa [2000-2015],35000,Individual,First Owner,29000,8
Bajaj CT 100,25000,Individual,First Owner,45000,3
Honda CB Hornet 160R,70000,Individual,First Owner,13000,3
Hero CD Dawn,10000,Individual,First Owner,48000,15
Royal Enfield Classic Gunmetal Grey,180000,Individual,First Owner,5814,2
Bajaj Discover 100,24000,Individual,First Owner,31000,6
Honda Shine,42000,Individual,First Owner,25000,3
TVS Max DLX,26000,Individual,Used,28000,18
Honda Dio,60000,Individual,First Owner,11000,2
Bajaj Pulsar 180,72000,Dealer,First Owner,7850,3
Royal Enfield Thunderbird 350,120000,Individual,First Owner,10000,5
Royal Enfield Thunderbird 350,59000,Individual,Used,40000,15
Royal Enfield Classic Chrome,185000,Individual,Used,5000,5
Royal Enfield Classic Gunmetal Grey,140000,Individual,First Owner,14000,2
KTM 390 Duke,205000,Individual,First Owner,7500,2
Hero Pleasure [2005-2015],30000,Individual,First Owner,25000,7
TVS Victor,18000,Individual,First Owner,46700,16
Bajaj Pulsar 150,35000,Individual,First Owner,12000,9
KTM RC 200,185000,Individual,First Owner,6000,1
Kawasaki Ninja 300,300000,Individual,First Owner,9800,4
Honda Dream Yuga,30000,Individual,Used,46070,5
Bajaj Pulsar 150,35000,Individual,First Owner,14500,11
Bajaj Pulsar 150 [2001-2011],35000,Individual,First Owner,70000,12
Hero Honda Passion Plus,25000,Dealer,Used,100000,12
Yamaha YZF R15 [2011-2018],80000,Dealer,First Owner,30000,7
Hero Honda Splendor Plus,20000,Individual,Used,127000,16
Hero Karizma ZMR,43000,Individual,Used,63000,8
Hero Honda Splendor Plus,20000,Individual,Used,30000,10
Yo Style,20000,Individual,First Owner,10000,9
Hero Splendor iSmart,40000,Individual,First Owner,10000,5
Hero Super Splendor,30000,Individual,First Owner,89000,9
Bajaj Discover 100,21000,Individual,First Owner,50000,11
Yamaha Fazer [2009-2016],35000,Individual,First Owner,15500,9
Bajaj Discover 125,23000,Individual,First Owner,66000,9
Hero Super Splendor,40000,Individual,Used,80000,3
Honda Shine,40000,Individual,First Owner,8600,9
Bajaj Discover 125 M,45000,Individual,First Owner,40000,6
Bajaj Avenger Street 150 [2018],60000,Individual,First Owner,25000,4
Yamaha Fazer [2009-2016],40000,Individual,First Owner,34500,7
Hero Passion X Pro [2016-2017],42000,Individual,First Owner,15500,4
Honda Activa [2000-2015],18000,Individual,First Owner,28000,9
TVS Star City,15000,Individual,First Owner,40000,14
Hero Honda Hunk,45000,Individual,First Owner,40000,7
TVS Star City,25000,Individual,First Owner,50000,4
Bajaj Pulsar 150,70000,Individual,First Owner,24000,3
Bajaj Discover 100,23000,Individual,First Owner,50000,8
TVS Victor,10000,Individual,First Owner,55000,15
Hero Honda Splendor Plus,25000,Individual,First Owner,70000,8
Honda Aviator,25000,Individual,Used,12000,8
Bajaj Pulsar 180,50000,Individual,First Owner,70000,10
Bajaj Avenger [2015],60000,Individual,Used,16000,5
Hero CD Dawn,35000,Individual,First Owner,38000,6
Hero Maestro,50000,Individual,First Owner,100000,4
Honda CB Shine SP,50000,Individual,First Owner,45000,4
Hero Honda CD Deluxe,25500,Individual,First Owner,28990,8
Hero Honda Hunk,35000,Individual,First Owner,13000,10
Hero Honda CD Deluxe,20000,Individual,First Owner,15000,15
Honda Activa 3G,40000,Individual,First Owner,60000,4
Bajaj Pulsar 135 LS,45000,Individual,First Owner,22000,3
Bajaj Pulsar 150 [2001-2011],30000,Individual,First Owner,19500,12
Hero Pleasure,30000,Individual,First Owner,25000,7
Hero Honda CBZ extreme,30000,Individual,Used,70000,9
Bajaj Pulsar 150,40000,Individual,Used,65000,6
Honda CB Twister,25000,Individual,First Owner,86000,8
Honda Livo,45000,Individual,First Owner,30000,3
Bajaj Pulsar AS200,65000,Individual,First Owner,33000,5
Honda Activa 3G,40000,Individual,First Owner,36000,5
Hero Honda Hunk,40000,Individual,First Owner,41000,10
Honda CB Hornet 160R,70000,Individual,First Owner,28000,3
Hero HF Deluxe,35000,Individual,First Owner,15000,2
Hero Splendor PRO,35000,Individual,First Owner,35280,5
Bajaj Boxer,15000,Individual,First Owner,18000,16
Royal Enfield Electra 5 S,99000,Individual,First Owner,28000,8
Royal Enfield Electra 5 S,90000,Individual,First Owner,40000,8
Hero Honda Hunk,20000,Individual,First Owner,17000,10
Hero Ignitor,36000,Individual,First Owner,23000,4
Bajaj Discover 100 M,32000,Individual,First Owner,30000,6
Honda Activa 3G,50000,Individual,First Owner,6000,4
Bajaj Pulsar 135 LS,50000,Individual,First Owner,48000,5
Bajaj Pulsar 220 DTS-i,60000,Individual,First Owner,16000,6
Hero Honda CBZ extreme,40000,Individual,First Owner,50000,11
Hero Honda CBZ extreme,35000,Individual,First Owner,60000,8
Royal Enfield Thunder 500,175000,Individual,First Owner,3000,2
UM Renegade Mojave,170000,Individual,First Owner,1400,1
KTM RC200,165000,Individual,First Owner,4000,1
Bajaj Dominar 400,145000,Individual,First Owner,1200,1
Royal Enfield Classic 350,135000,Individual,First Owner,4100,1
KTM RC390,135000,Individual,First Owner,21700,3
Hyosung GT250R,135000,Individual,Used,16500,4
Royal Enfield Thunder 350,125000,Individual,First Owner,15000,5
Royal Enfield Thunder 350,120000,Individual,First Owner,18000,2
Royal Enfield Classic 350,120000,Individual,First Owner,11000,1
KTM RC200,120000,Individual,First Owner,6000,2
Royal Enfield Thunder 350,115000,Individual,First Owner,8700,2
KTM 390 Duke ,115000,Individual,First Owner,7000,4
Mahindra Mojo XT300,115000,Individual,First Owner,35000,2
Royal Enfield Classic 350,115000,Individual,First Owner,17000,3
Royal Enfield Classic 350,111000,Individual,First Owner,17500,3
Royal Enfield Classic 350,110000,Individual,First Owner,33000,5
Royal Enfield Thunder 500,110000,Individual,First Owner,14000,3
Royal Enfield Classic 350,110000,Individual,First Owner,26000,3
Royal Enfield Thunder 500,105000,Individual,First Owner,5400,5
Bajaj Pulsar RS200,105000,Individual,First Owner,5700,2
Royal Enfield Thunder 350,105000,Individual,First Owner,6900,7
Royal Enfield Bullet 350,105000,Individual,First Owner,6000,2
Royal Enfield Classic 350,100000,Individual,First Owner,46500,5
Royal Enfield Classic 500,95000,Individual,First Owner,11500,6
Royal Enfield Classic 500,90000,Individual,First Owner,40000,9
Bajaj Avenger 220,90000,Individual,First Owner,1300,1
Bajaj Avenger 150,75000,Individual,First Owner,7000,2
Honda CB Hornet 160R,80000,Individual,First Owner,3000,1
Yamaha FZ S V 2.0,78000,Individual,First Owner,5000,1
Honda CB Hornet 160R,75000,Individual,First Owner,11000,1
Yamaha FZ 16,75000,Individual,First Owner,18000,3
Bajaj Avenger 220,75000,Individual,First Owner,3500,1
Bajaj Avenger 220,72000,Individual,First Owner,500,2
TVS Apache RTR 160,65000,Individual,First Owner,11800,1
Bajaj Pulsar 150,65000,Individual,First Owner,5000,3
Honda CBR 150,65000,Individual,First Owner,23500,4
Hero Extreme,65000,Individual,First Owner,16000,5
Honda CB Hornet 160R,60000,Individual,First Owner,15000,2
Bajaj Avenger 220 dtsi,60000,Individual,First Owner,16600,3
Honda CBR 150,60000,Individual,First Owner,32000,5
Bajaj Avenger 150 street,60000,Individual,First Owner,20000,2
Yamaha FZ  v 2.0,60000,Individual,First Owner,29000,3
Yamaha FZ  v 2.0,60000,Individual,First Owner,25000,2
Bajaj Pulsar  NS 200,60000,Individual,First Owner,25000,4
TVS Apache RTR 160,60000,Individual,First Owner,19000,6
Hero Extreme,55000,Individual,First Owner,15000,4
Yamaha FZ S V 2.0,55000,Individual,First Owner,58000,3
Bajaj Pulsar 220 F,52000,Individual,First Owner,45000,8
Bajaj Pulsar 220 F,51000,Individual,First Owner,24000,2
TVS Apache RTR 180,50000,Individual,First Owner,6000,7
Hero Passion X pro,50000,Individual,First Owner,31000,2
Bajaj Pulsar NS 200,50000,Individual,First Owner,13000,6
Bajaj Pulsar NS 200,50000,Individual,First Owner,45000,5
Yamaha Fazer ,50000,Individual,First Owner,8000,4
Honda Activa 4G,48000,Individual,First Owner,4300,1
TVS Sport ,48000,Individual,First Owner,15000,1
Yamaha FZ S V 2.0,48000,Individual,First Owner,23000,3
Honda Dream Yuga ,48000,Individual,First Owner,8600,1
Honda Activa 4G,45000,Individual,First Owner,4000,1
Bajaj Avenger Street 220,45000,Individual,First Owner,24000,7
TVS Apache RTR 180,45000,Individual,First Owner,23000,4
Bajaj Pulsar NS 200,45000,Individual,First Owner,14500,6
Bajaj Avenger 220 dtsi,45000,Individual,First Owner,27000,8
Hero Splender iSmart,45000,Individual,First Owner,14000,2
Activa 3g,45000,Individual,First Owner,500,2
Hero Passion Pro,45000,Individual,First Owner,1000,2
TVS Apache RTR 160,42000,Individual,First Owner,42000,4
Honda CB Trigger,42000,Individual,First Owner,12000,5
Hero Splender iSmart,40000,Individual,First Owner,14000,3
Yamaha FZ S ,40000,Individual,First Owner,5500,6
Hero Passion Pro,40000,Individual,First Owner,6700,3
Bajaj Pulsar 135 LS,40000,Individual,First Owner,13700,4
Activa 4g,40000,Individual,First Owner,1300,1
Honda CB Unicorn,38000,Individual,First Owner,38600,3
Hero Honda CBZ extreme,38000,Individual,First Owner,75000,7
Honda Karizma,35000,Individual,First Owner,30000,7
Honda Activa 125,35000,Individual,First Owner,24000,2
TVS Jupyter,35000,Individual,First Owner,19000,4
Honda Karizma,31000,Individual,First Owner,213000,8
Hero Honda Passion Pro,30000,Individual,First Owner,60000,6
Hero Splender Plus,30000,Individual,First Owner,50000,2
Honda CB Shine,30000,Individual,First Owner,30000,5
Bajaj Discover 100,27000,Individual,First Owner,21000,5
Bajaj Pulsar 150,25000,Individual,Used,26000,10
Suzuki Access 125,25000,Individual,First Owner,1900,10
TVS Wego,25000,Individual,First Owner,22000,8
Honda CB twister,25000,Individual,First Owner,32000,5
Hero Glamour,25000,Individual,First Owner,18000,5
Hero Super Splendor,20000,Individual,First Owner,55000,13
Bajaj Pulsar 150,20000,Individual,First Owner,60000,10
Bajaj Discover 125,20000,Individual,Used,25000,6
Hero Hunk,20000,Individual,Used,49000,11
Hero  Ignitor Disc,20000,Individual,Used,24000,5
Hero  CBZ Xtreme,20000,Individual,First Owner,50000,10
Bajaj  ct 100,18000,Individual,First Owner,35000,3
Activa 3g,17000,Individual,First Owner,500000,10
Honda CB twister,16000,Individual,First Owner,33000,8
Bajaj Discover 125,15000,Individual,Used,35000,7
Honda CB Shine,12000,Individual,First Owner,53000,11
Bajaj Pulsar 150,10000,Individual,First Owner,92233,12
