State,Code,County,DEM,OTH,REP,Total Votes,Winner,Vote Margin,Win Margin,Population,RUCC Code
Arizona,AZ,Apache County,23293,437,11442,35172,DEM,11851,33.69441601,71518,6
Arizona,AZ,Cochise County,23732,1153,35557,60442,REP,11825,19.56421032,131346,3
Arizona,AZ,Coconino County,44698,1522,27052,73272,DEM,17646,24.08286931,134421,3
Arizona,AZ,Gila County,8943,342,18377,27662,REP,9434,34.10454776,53597,4
Arizona,AZ,Graham County,4034,212,10749,14995,REP,6715,44.78159386,37220,7
Arizona,AZ,Greenlee County,1182,70,2433,3685,REP,1251,33.94843962,8437,7
Arizona,AZ,La Paz County,2236,93,5129,7458,REP,2893,38.79056047,20489,6
Arizona,AZ,Maricopa County,1040774,31705,995665,2068144,DEM,45109,2.181134389,3817117,1
Arizona,AZ,Mohave County,24831,1302,78535,104668,REP,53704,51.30890052,200186,3
Arizona,AZ,Navajo County,23383,727,27657,51767,REP,4274,8.256225008,107449,4
Arizona,AZ,Pima County,304981,7658,207758,520397,DEM,97223,18.68246742,980263,2
Arizona,AZ,Pinal County,75106,3342,107077,185525,REP,31971,17.23271796,375770,1
Arizona,AZ,Santa Cruz County,13138,224,6194,19556,DEM,6944,35.5082839,47420,4
Arizona,AZ,Yavapai County,49602,2092,91527,143221,REP,41925,29.27294182,211033,3
Arizona,AZ,Yuma County,32210,1137,36534,69881,REP,4324,6.187661882,195751,3
Florida,FL,Alachua County,89704,1928,50972,142604,DEM,38732,27.16052846,247336,2
Florida,FL,Baker County,2037,111,11911,14059,REP,9874,70.23259122,27115,1
Florida,FL,Bay County,25614,1313,66097,93024,REP,40483,43.51887685,168852,3
Florida,FL,Bradford County,3160,138,10334,13632,REP,7174,52.62617371,28520,6
Florida,FL,Brevard County,148549,4332,207883,360764,REP,59334,16.44676298,543376,2
Florida,FL,Broward County,618752,5511,333409,957672,DEM,285343,29.79548321,1748066,1
Florida,FL,Calhoun County,1209,43,5274,6526,REP,4065,62.28930432,14625,6
Florida,FL,Charlotte County,42273,824,73243,116340,REP,30970,26.62025099,159978,3
Florida,FL,Citrus County,27092,764,65352,93208,REP,38260,41.04797871,141236,3
Florida,FL,Clay County,38317,1608,84480,124405,REP,46163,37.10702946,190865,1
Florida,FL,Collier County,77621,1247,128950,207818,REP,51329,24.69901548,321520,2
Florida,FL,Columbia County,8914,292,23836,33042,REP,14922,45.16070456,67531,4
Florida,FL,DeSoto County,4259,87,8313,12659,REP,4054,32.0246465,34862,6
Florida,FL,Dixie County,1365,43,6759,8167,REP,5394,66.04628383,16422,6
Florida,FL,Duval County,252556,6502,233762,492820,DEM,18794,3.813562761,864263,1
Florida,FL,Escambia County,70929,2769,96674,170372,REP,25745,15.11105111,297619,2
Florida,FL,Flagler County,28161,512,43043,71716,REP,14882,20.75129678,95696,2
Florida,FL,Franklin County,2120,54,4675,6849,REP,2555,37.30471602,11549,6
Florida,FL,Gadsden County,16153,144,7465,23762,DEM,8688,36.56257891,46389,2
Florida,FL,Gilchrist County,1700,90,7895,9685,REP,6195,63.96489417,16939,2
Florida,FL,Glades County,1385,26,3782,5193,REP,2397,46.15829001,12884,6
Florida,FL,Gulf County,1985,65,6113,8163,REP,4128,50.56964351,15863,3
Florida,FL,Hamilton County,1963,52,3815,5830,REP,1852,31.76672384,14799,6
Florida,FL,Hardee County,2298,65,6122,8485,REP,3824,45.06776665,27731,6
Florida,FL,Hendry County,4929,105,7906,12940,REP,2977,23.00618238,39140,4
Florida,FL,Hernando County,37519,991,70412,108922,REP,32893,30.19867428,172778,1
Florida,FL,Highlands County,16938,359,34873,52170,REP,17935,34.37799502,98786,3
Florida,FL,Hillsborough County,376367,8298,327398,712063,DEM,48969,6.877060035,1229226,1
Florida,FL,Holmes County,924,64,8080,9068,REP,7156,78.91486546,19927,6
Florida,FL,Indian River County,37844,768,58872,97484,REP,21028,21.5707193,138028,3
Florida,FL,Jackson County,6766,165,15488,22419,REP,8722,38.90450065,49746,6
Florida,FL,Jefferson County,3897,75,4479,8451,REP,582,6.886758963,14761,2
Florida,FL,Lafayette County,510,20,3128,3658,REP,2618,71.56916348,8870,9
Florida,FL,Lake County,83505,1950,125859,211314,REP,42354,20.04315852,297052,1
Florida,FL,Lee County,157695,2957,233247,393899,REP,75552,19.18055136,618754,2
Florida,FL,Leon County,103517,1959,57453,162929,DEM,46064,28.27243769,275487,2
Florida,FL,Levy County,6205,191,16749,23145,REP,10544,45.55627565,40801,6
Florida,FL,Liberty County,694,21,2846,3561,REP,2152,60.43246279,8365,8
Florida,FL,Madison County,3747,57,5576,9380,REP,1829,19.4989339,19224,6
Florida,FL,Manatee County,90166,1805,124987,216958,REP,34821,16.04965016,322833,2
Florida,FL,Marion County,74858,1692,127826,204376,REP,52968,25.91693741,331298,2
Florida,FL,Martin County,36893,665,61168,98726,REP,24275,24.58825436,146318,2
Florida,FL,Miami-Dade County,617864,6119,532833,1156816,DEM,85031,7.350434296,2496435,1
Florida,FL,Monroe County,21881,455,25693,48029,REP,3812,7.936871473,73090,4
Florida,FL,Nassau County,15564,681,42566,58811,REP,27002,45.91317951,73314,1
Florida,FL,Okaloosa County,34248,2327,79798,116373,REP,45550,39.14138159,180822,3
Florida,FL,Okeechobee County,4390,94,11470,15954,REP,7080,44.37758556,39996,4
Florida,FL,Orange County,395014,6991,245398,647403,DEM,149616,23.11018021,1145956,1
Florida,FL,Osceola County,97297,1659,73480,172436,DEM,23817,13.812081,268685,1
Florida,FL,Palm Beach County,433572,4875,334711,773158,DEM,98861,12.78664904,1320134,1
Florida,FL,Pasco County,119073,3276,179621,301970,REP,60548,20.05099844,464697,1
Florida,FL,Pinellas County,277450,6056,276209,559715,DEM,1241,0.221719982,916542,1
Florida,FL,Polk County,145049,3621,194586,343256,REP,49537,14.43150302,602095,2
Florida,FL,Putnam County,10527,332,25514,36373,REP,14987,41.20364006,74364,4
Florida,FL,Santa Rosa County,27612,1931,77385,106928,REP,49773,46.54814455,151372,2
Florida,FL,Sarasota County,120110,2095,148370,270575,REP,28260,10.44442391,379448,2
Florida,FL,Seminole County,132528,3046,125241,260815,DEM,7287,2.793934398,422718,1
Florida,FL,St. Johns County,63850,1826,110946,176622,REP,47096,26.66485489,190039,1
Florida,FL,St. Lucie County,84137,1201,86831,172169,REP,2694,1.56474162,277789,2
Florida,FL,Sumter County,29341,383,62761,92485,REP,33420,36.13558956,93420,3
Florida,FL,Suwannee County,4485,162,16410,21057,REP,11925,56.63199886,41551,6
Florida,FL,Taylor County,2299,77,7751,10127,REP,5452,53.83627925,22570,6
Florida,FL,Union County,1053,59,5133,6245,REP,4080,65.33226581,15535,6
Florida,FL,Volusia County,130575,3043,173821,307439,REP,43246,14.06653027,494593,2
Florida,FL,Wakulla County,5351,179,12874,18404,REP,7523,40.87698326,30776,2
Florida,FL,Walton County,10338,426,32947,43711,REP,22609,51.72382238,55043,3
Florida,FL,Washington County,2347,104,9876,12327,REP,7529,61.07730997,24896,6
Georgia,GA,Appling County,1779,36,6526,8341,REP,4747,56.91164129,18236,7
Georgia,GA,Atkinson County,825,30,2300,3155,REP,1475,46.75118859,8375,9
Georgia,GA,Bacon County,625,25,4018,4668,REP,3393,72.68637532,11096,7
Georgia,GA,Baker County,652,6,897,1555,REP,245,15.75562701,3451,3
Georgia,GA,Baldwin County,9140,208,8903,18251,DEM,237,1.298558983,45720,4
Georgia,GA,Banks County,932,74,7795,8801,REP,6863,77.97977503,18395,8
Georgia,GA,Barrow County,10453,760,26804,38017,REP,16351,43.00970618,69367,1
Georgia,GA,Bartow County,12092,701,37674,50467,REP,25582,50.69055026,100157,1
Georgia,GA,Ben Hill County,2392,58,4110,6560,REP,1718,26.18902439,17634,7
Georgia,GA,Berrien County,1269,55,6419,7743,REP,5150,66.51168798,19286,6
Georgia,GA,Bibb County,43468,749,26585,70802,DEM,16883,23.8453716,155547,3
Georgia,GA,Bleckley County,1311,67,4328,5706,REP,3017,52.87416754,13063,6
Georgia,GA,Brantley County,699,56,6991,7746,REP,6292,81.22902143,18411,3
Georgia,GA,Brooks County,2790,50,4260,7100,REP,1470,20.70422535,16243,3
Georgia,GA,Bryan County,6739,357,14244,21340,REP,7505,35.16869728,30233,2
Georgia,GA,Bulloch County,11243,455,18386,30084,REP,7143,23.74351815,70217,4
Georgia,GA,Burke County,5209,75,5400,10684,REP,191,1.787719955,23316,2
Georgia,GA,Butts County,3272,112,8405,11789,REP,5133,43.54058868,23655,1
Georgia,GA,Calhoun County,1260,11,923,2194,DEM,337,15.36007293,6694,8
Georgia,GA,Camden County,7967,470,15251,23688,REP,7284,30.74974671,50513,4
Georgia,GA,Candler County,1269,29,3134,4432,REP,1865,42.08032491,10998,7
Georgia,GA,Carroll County,16238,760,37476,54474,REP,21238,38.98740684,110527,1
Georgia,GA,Catoosa County,6932,593,25167,32692,REP,18235,55.77817203,63942,2
Georgia,GA,Charlton County,1103,44,3419,4566,REP,2316,50.72273325,12171,6
Georgia,GA,Chatham County,78369,1932,53288,133589,DEM,25081,18.77474942,265128,2
Georgia,GA,Chattahoochee County,667,43,880,1590,REP,213,13.39622642,11267,2
Georgia,GA,Chattooga County,1854,132,8064,10050,REP,6210,61.79104478,26015,6
Georgia,GA,Cherokee County,42794,2449,99587,144830,REP,56793,39.21356073,214346,1
Georgia,GA,Clarke County,36048,839,14446,51333,DEM,21602,42.08209144,116714,3
Georgia,GA,Clay County,790,7,637,1434,DEM,153,10.66945607,3183,9
Georgia,GA,Clayton County,95476,1055,15813,112344,DEM,79663,70.90988393,259424,1
Georgia,GA,Clinch County,747,12,2105,2864,REP,1358,47.41620112,6798,6
Georgia,GA,Cobb County,221846,6441,165459,393746,DEM,56387,14.32065342,688078,1
Georgia,GA,Coffee County,4511,125,10578,15214,REP,6067,39.87774418,42356,7
Georgia,GA,Colquitt County,4187,119,11777,16083,REP,7590,47.19268793,45498,6
Georgia,GA,Columbia County,29236,1330,50013,80579,REP,20777,25.78463371,124053,2
Georgia,GA,Cook County,2059,76,4900,7035,REP,2841,40.38379531,17212,6
Georgia,GA,Coweta County,24210,1088,51501,76799,REP,27291,35.53561895,127317,1
Georgia,GA,Crawford County,1615,59,4428,6102,REP,2813,46.09963946,12630,3
Georgia,GA,Crisp County,2986,79,4987,8052,REP,2001,24.8509687,23439,6
Georgia,GA,Dade County,1261,107,6066,7434,REP,4805,64.6354587,16633,2
Georgia,GA,Dawson County,2486,197,13398,16081,REP,10912,67.85647659,22330,1
Georgia,GA,DeKalb County,308140,4202,58369,370711,DEM,249771,67.37620411,691893,1
Georgia,GA,Decatur County,4780,89,6758,11627,REP,1978,17.01212695,27842,6
Georgia,GA,Dodge County,2171,56,5843,8070,REP,3672,45.50185874,21796,6
Georgia,GA,Dooly County,1911,35,2159,4105,REP,248,6.041412911,14918,6
Georgia,GA,Dougherty County,24579,280,10449,35308,DEM,14130,40.01925909,94565,3
Georgia,GA,Douglas County,42653,830,25323,68806,DEM,17330,25.18675697,132403,1
Georgia,GA,Early County,2437,28,2722,5187,REP,285,5.494505495,11008,6
Georgia,GA,Echols County,167,18,1256,1441,REP,1089,75.57251908,4034,3
Georgia,GA,Effingham County,7720,547,23357,31624,REP,15637,49.44662282,52250,2
Georgia,GA,Elbert County,2879,66,6226,9171,REP,3347,36.49547487,20166,6
Georgia,GA,Emanuel County,2884,66,6551,9501,REP,3667,38.59593727,22598,7
Georgia,GA,Evans County,1324,35,2888,4247,REP,1564,36.82599482,11000,6
Georgia,GA,Fannin County,2571,110,12169,14850,REP,9598,64.63299663,23682,8
Georgia,GA,Fayette County,31937,933,36375,69245,REP,4438,6.409127013,106567,1
Georgia,GA,Floyd County,10972,496,27120,38588,REP,16148,41.84720639,96317,3
Georgia,GA,Forsyth County,42203,1980,85122,129305,REP,42919,33.19206527,175511,1
Georgia,GA,Franklin County,1593,124,9069,10786,REP,7476,69.3120712,22084,8
Georgia,GA,Fulton County,381144,6275,137240,524659,DEM,243904,46.48809989,920581,1
Georgia,GA,Gilmer County,2932,164,13429,16525,REP,10497,63.52193646,28292,6
Georgia,GA,Glascock County,155,8,1403,1566,REP,1248,79.69348659,3082,9
Georgia,GA,Glynn County,15879,489,25616,41984,REP,9737,23.19216845,79626,3
Georgia,GA,Gordon County,4384,244,19405,24033,REP,15021,62.50156035,55186,4
Georgia,GA,Grady County,3619,54,7034,10707,REP,3415,31.89502195,25011,6
Georgia,GA,Greene County,4088,91,7068,11247,REP,2980,26.49595448,15994,6
Georgia,GA,Gwinnett County,241827,5625,166413,413865,DEM,75414,18.22188395,805321,1
Georgia,GA,Habersham County,3563,232,16637,20432,REP,13074,63.98786218,43041,6
Georgia,GA,Hall County,25031,1322,64170,90523,REP,39139,43.23652552,179684,3
Georgia,GA,Hancock County,2985,21,1159,4165,DEM,1826,43.84153661,9429,7
Georgia,GA,Haralson County,1792,149,12331,14272,REP,10539,73.84389013,28780,1
Georgia,GA,Harris County,5457,215,14319,19991,REP,8862,44.32994848,32024,2
Georgia,GA,Hart County,3157,106,9464,12727,REP,6307,49.55606192,25213,6
Georgia,GA,Heard County,824,57,4516,5397,REP,3692,68.40837502,11834,1
Georgia,GA,Henry County,73276,1279,48187,122742,DEM,25089,20.44043604,203922,1
Georgia,GA,Houston County,32232,1057,41534,74823,REP,9302,12.4320062,139900,3
Georgia,GA,Irwin County,1008,26,3134,4168,REP,2126,51.00767754,9538,7
Georgia,GA,Jackson County,7642,531,29497,37670,REP,21855,58.01698965,60485,4
Georgia,GA,Jasper County,1761,61,5822,7644,REP,4061,53.12663527,13900,1
Georgia,GA,Jeff Davis County,1028,48,4695,5771,REP,3667,63.54184717,15068,7
Georgia,GA,Jefferson County,4061,44,3537,7642,DEM,524,6.856843758,16930,6
Georgia,GA,Jenkins County,1266,28,2161,3455,REP,895,25.90448625,8340,6
Georgia,GA,Johnson County,1222,28,2850,4100,REP,1628,39.70731707,9980,7
Georgia,GA,Jones County,4888,113,9965,14966,REP,5077,33.92356007,28669,3
Georgia,GA,Lamar County,2615,94,6330,9039,REP,3715,41.09967917,18317,1
Georgia,GA,Lanier County,1019,48,2509,3576,REP,1490,41.66666667,10078,3
Georgia,GA,Laurens County,8073,163,14493,22729,REP,6420,28.24585332,48434,5
Georgia,GA,Lee County,4558,149,12007,16714,REP,7449,44.5674285,28298,3
Georgia,GA,Liberty County,13099,331,7959,21389,DEM,5140,24.03104399,63453,3
Georgia,GA,Lincoln County,1435,36,3179,4650,REP,1744,37.50537634,7996,2
Georgia,GA,Long County,2033,95,3528,5656,REP,1495,26.4321075,14464,3
Georgia,GA,Lowndes County,20117,547,25691,46355,REP,5574,12.02459282,109233,3
Georgia,GA,Lumpkin County,3126,242,12163,15531,REP,9037,58.1868521,29966,6
Georgia,GA,Macon County,2857,22,1783,4662,DEM,1074,23.03732304,14740,6
Georgia,GA,Madison County,3411,200,11326,14937,REP,7915,52.9892214,28120,3
Georgia,GA,Marion County,1311,38,2275,3624,REP,964,26.6004415,8742,2
Georgia,GA,McDuffie County,4168,118,6169,10455,REP,2001,19.13916786,21875,2
Georgia,GA,McIntosh County,2612,68,4016,6696,REP,1404,20.96774194,14333,3
Georgia,GA,Meriwether County,4287,66,6524,10877,REP,2237,20.56633263,21992,1
Georgia,GA,Miller County,749,20,2066,2835,REP,1317,46.45502646,6125,8
Georgia,GA,Mitchell County,3995,33,4935,8963,REP,940,10.48755997,23498,6
Georgia,GA,Monroe County,4384,148,11060,15592,REP,6676,42.81682914,26424,3
Georgia,GA,Montgomery County,979,27,2960,3966,REP,1981,49.94957136,9123,9
Georgia,GA,Morgan County,3355,122,8230,11707,REP,4875,41.6417528,17868,1
Georgia,GA,Murray County,2302,144,12943,15389,REP,10641,69.14679316,39628,3
Georgia,GA,Muscogee County,49529,965,30049,80543,DEM,19480,24.18583862,189885,2
Georgia,GA,Newton County,29794,576,23869,54239,DEM,5925,10.92387397,99958,1
Georgia,GA,Oconee County,8162,411,16595,25168,REP,8433,33.50683408,32808,3
Georgia,GA,Oglethorpe County,2436,102,5593,8131,REP,3157,38.82671258,14899,3
Georgia,GA,Paulding County,29704,1156,54525,85385,REP,24821,29.0695087,142324,1
Georgia,GA,Peach County,5920,123,6502,12545,REP,582,4.639298525,27695,3
Georgia,GA,Pickens County,2808,233,14075,17116,REP,11267,65.8272961,29431,1
Georgia,GA,Pierce County,1100,49,7899,9048,REP,6799,75.14367816,18758,6
Georgia,GA,Pike County,1505,88,9127,10720,REP,7622,71.10074627,17869,1
Georgia,GA,Polk County,3658,152,13589,17399,REP,9931,57.07799299,41475,4
Georgia,GA,Pulaski County,1217,37,2805,4059,REP,1588,39.12293668,12010,3
Georgia,GA,Putnam County,3448,116,8291,11855,REP,4843,40.8519612,21218,6
Georgia,GA,Quitman County,497,5,604,1106,REP,107,9.674502712,2513,9
Georgia,GA,Rabun County,1984,110,7474,9568,REP,5490,57.37876254,16276,7
Georgia,GA,Randolph County,1671,12,1391,3074,DEM,280,9.108653221,7719,6
Georgia,GA,Richmond County,59124,1111,26781,87016,DEM,32343,37.16902639,200549,2
Georgia,GA,Rockdale County,31244,430,13012,44686,DEM,18232,40.80025064,85215,1
Georgia,GA,Schley County,462,13,1800,2275,REP,1338,58.81318681,5010,8
Georgia,GA,Screven County,2661,51,3916,6628,REP,1255,18.93482197,14593,6
Georgia,GA,Seminole County,1254,19,2611,3884,REP,1357,34.93820803,8729,6
Georgia,GA,Spalding County,11784,275,18057,30116,REP,6273,20.82945942,64073,1
Georgia,GA,Stephens County,2385,132,9368,11885,REP,6983,58.75473286,26175,7
Georgia,GA,Stewart County,1182,7,801,1990,DEM,381,19.14572864,6058,8
Georgia,GA,Sumter County,6318,100,5732,12150,DEM,586,4.823045267,32819,6
Georgia,GA,Talbot County,2114,16,1392,3522,DEM,722,20.49971607,6865,8
Georgia,GA,Taliaferro County,561,7,360,928,DEM,201,21.65948276,1717,8
Georgia,GA,Tattnall County,2061,69,6053,8183,REP,3992,48.78406452,25520,6
Georgia,GA,Taylor County,1387,34,2418,3839,REP,1031,26.85595207,8906,8
Georgia,GA,Telfair County,1487,21,2825,4333,REP,1338,30.87929841,16500,7
Georgia,GA,Terrell County,2376,36,2004,4416,DEM,372,8.423913043,9315,3
Georgia,GA,Thomas County,8708,191,12954,21853,REP,4246,19.42982657,44720,4
Georgia,GA,Tift County,5322,177,10784,16283,REP,5462,33.54418719,40118,5
Georgia,GA,Toombs County,2939,103,7872,10914,REP,4933,45.19882719,27223,7
Georgia,GA,Towns County,1550,45,6384,7979,REP,4834,60.58403309,10471,9
Georgia,GA,Treutlen County,952,24,2101,3077,REP,1149,37.34156646,6885,7
Georgia,GA,Troup County,11585,328,18146,30059,REP,6561,21.82707342,67044,4
Georgia,GA,Turner County,1410,33,2349,3792,REP,939,24.76265823,8930,6
Georgia,GA,Twiggs County,2044,30,2370,4444,REP,326,7.335733573,9023,3
Georgia,GA,Union County,2801,140,12651,15592,REP,9850,63.17342227,21356,9
Georgia,GA,Upson County,4201,96,8608,12905,REP,4407,34.14955444,27153,6
Georgia,GA,Walker County,5769,493,23174,29436,REP,17405,59.1282783,68756,2
Georgia,GA,Walton County,12682,571,37842,51095,REP,25160,49.24160877,83768,1
Georgia,GA,Ware County,4249,117,9930,14296,REP,5681,39.73838836,36312,5
Georgia,GA,Warren County,1488,16,1177,2681,DEM,311,11.6001492,5834,8
Georgia,GA,Washington County,4730,66,4663,9459,DEM,67,0.708320118,21187,7
Georgia,GA,Wayne County,2687,104,9987,12778,REP,7300,57.12944123,30099,6
Georgia,GA,Webster County,639,3,748,1390,REP,109,7.841726619,2799,8
Georgia,GA,Wheeler County,689,13,1583,2285,REP,894,39.12472648,7421,9
Georgia,GA,White County,2411,183,12222,14816,REP,9811,66.21895248,27144,6
Georgia,GA,Whitfield County,10670,440,25636,36746,REP,14966,40.72824253,102599,3
Georgia,GA,Wilcox County,862,16,2403,3281,REP,1541,46.96738799,9255,8
Georgia,GA,Wilkes County,2159,47,2823,5029,REP,664,13.20342016,10593,6
Georgia,GA,Wilkinson County,2075,31,2664,4770,REP,589,12.34800839,9563,8
Georgia,GA,Worth County,2395,60,6831,9286,REP,4436,47.77083782,21679,3
Iowa,IA,Adair County,1197,69,2917,4183,REP,1720,41.11881425,7682,8
Iowa,IA,Adams County,590,40,1528,2158,REP,938,43.46617238,4029,9
Iowa,IA,Allamakee County,2575,151,4733,7459,REP,2158,28.93149216,14330,6
Iowa,IA,Appanoose County,1891,103,4512,6506,REP,2621,40.28588995,12887,7
Iowa,IA,Audubon County,1071,50,2295,3416,REP,1224,35.83138173,6119,8
Iowa,IA,Benton County,5156,292,9179,14627,REP,4023,27.50393109,26076,2
Iowa,IA,Black Hawk County,35621,1305,29623,66549,DEM,5998,9.012907782,131090,3
Iowa,IA,Boone County,6303,308,8695,15306,REP,2392,15.62785836,26306,6
